retentionslot_timestamp,milliseconds,sample_index,description,breathphase
23.21.715,1401716,67282368,,exhale
23.29.790,1409791,67669968,,inhale
23.37.740,1417741,68051568,,exhale
23.45.809,1425810,68438880,,inhale
23.53.790,1433791,68821968,,exhale
24.01.861,1441861,69209328,,inhale
24.09.810,1449811,69590928,,exhale
24.17.881,1457881,69978288,,inhale
24.25.861,1465861,70361328,,exhale
24.33.931,1473931,70748688,,inhale
24.41.881,1481881,71130288,,exhale
24.49.951,1489951,71517648,,inhale
24.57.931,1497931,71900688,,exhale
25.05.971,1505971,72286608,,inhale
25.13.951,1513951,72669648,,exhale
25.22.020,1522021,73057008,,inhale
25.30.000,1530001,73440048,,exhale
25.38.040,1538041,73825968,,inhale
25.46.020,1546021,74209008,,exhale
25.54.090,1554091,74596368,,inhale
26.02.040,1562041,74977968,,exhale
26.10.141,1570141,75366768,,inhale
26.18.090,1578091,75748368,,exhale
26.26.160,1586160,76135680,,inhale
26.34.141,1594141,76518768,,exhale
26.42.181,1602181,76904688,,inhale
26.50.161,1610161,77287728,,exhale
26.58.201,1618201,77673648,,inhale
27.06.181,1626181,78056688,,exhale
27.14.250,1634251,78444048,,inhale
27.22.201,1642201,78825648,,exhale
27.30.300,1650301,79214448,,inhale
27.38.250,1658251,79596048,,exhale
27.46.290,1666291,79981968,,inhale
27.54.270,1674271,80365008,,exhale
