retentionslot_timestamp,milliseconds,sample_index,description,breathphase,participant_id,trial_number,trial_type,stimulus_type,soa_value_ms,jitter_ms,is_tactile,looming_stimulus_timestamp,tactile_stimulus_timestamp,soa_ms,jittered_ms,expected_response,marker_type
00:31.9,31950,1533600,,inhale,48,1,practice,,,500,False,,,,32450,False,1
00:39.9,39930,1916640,,exhale,48,2,practice,,,300,False,,,,40230,False,2
00:48.0,48000,2304000,,inhale,48,3,practice,,,300,False,,,,48300,False,1
00:56.0,55950,2685600,,exhale,48,4,practice,,,300,False,,,,56250,False,2
01:4.0,64019,3072912,,inhale,48,5,practice,,,500,False,,,,64519,False,1
01:12.0,72000,3456000,,exhale,48,6,practice,,,400,False,,,,72400,False,2
01:20.1,80069,3843359,,inhale,48,7,practice,,,500,False,,,,80569,False,1
01:28.0,88020,4224960,,exhale,48,8,practice,,,100,False,,,,88120,False,2
01:36.1,96090,4612320,,inhale,48,9,baseline,,700.0,100,True,,01:36.9,96890.0,96190,True,1
01:44.1,104070,4995360,,exhale,48,10,baseline,,400.0,500,True,,01:45.0,104970.0,104570,True,2
01:52.1,112140,5382720,,inhale,48,11,baseline,,1000.0,300,True,,01:53.4,113440.0,112440,True,1
02:0.1,120090,5764320,,exhale,48,12,exhalation,pink,1000.0,300,True,02:0.4,02:1.4,121390.0,120390,True,2
02:8.2,128160,6151680,,inhale,48,13,baseline,,700.0,200,True,,02:9.1,129060.0,128360,True,1
02:16.1,136139,6534719,,exhale,48,14,exhalation,white,700.0,200,True,02:16.3,02:17.0,137039.0,136339,True,2
02:24.2,144180,6920640,,inhale,48,15,inhalation,white,1500.0,400,True,02:24.6,02:26.1,146080.0,144580,True,1
02:32.2,152160,7303680,,exhale,48,16,exhalation,blue,400.0,400,True,02:32.6,02:33.0,152960.0,152560,True,2
02:40.2,160229,7691039,,inhale,48,17,baseline,,700.0,100,True,,02:41.0,161029.0,160329,True,1
02:48.2,168210,8074080,,exhale,48,18,exhalation,brown,1500.0,100,True,02:48.3,02:49.8,169810.0,168310,True,2
02:56.2,176250,8460000,,inhale,48,19,inhalation,brown,700.0,400,True,02:56.6,02:57.4,177350.0,176650,True,1
03:4.2,184230,8843040,,exhale,48,20,exhalation,blue,1000.0,300,True,03:4.5,03:5.5,185530.0,184530,True,2
03:12.3,192300,9230400,,inhale,48,21,inhalation,white,190.0,100,True,03:12.4,03:12.6,192590.0,192400,True,1
03:20.2,200250,9612000,,exhale,48,22,baseline,,190.0,200,True,,03:20.6,200640.0,200450,True,2
03:28.3,208350,10000800,,inhale,48,23,catch,brown,,100,False,03:28.4,,,208450,False,1
03:36.3,216300,10382400,,exhale,48,24,exhalation,white,190.0,100,True,03:36.4,03:36.6,216590.0,216400,True,2
03:44.4,224369,10769712,,inhale,48,25,inhalation,blue,400.0,500,True,03:44.9,03:45.3,225269.0,224869,True,1
03:52.3,232350,11152800,,exhale,48,26,baseline,,400.0,400,True,,03:53.1,233150.0,232750,True,2
04:0.4,240390,11538720,,inhale,48,27,inhalation,white,400.0,100,True,04:0.5,04:0.9,240890.0,240490,True,1
04:8.4,248370,11921760,,exhale,48,28,exhalation,brown,1500.0,300,True,04:8.7,04:10.2,250170.0,248670,True,2
04:16.4,256410,12307680,,inhale,48,29,inhalation,pink,700.0,200,True,04:16.6,04:17.3,257310.0,256610,True,1
04:24.4,264390,12690720,,exhale,48,30,exhalation,white,700.0,500,True,04:24.9,04:25.6,265590.0,264890,True,2
