retentionslot_timestamp,milliseconds,sample_index,description,breathphase,participant_id,trial_number,trial_type,stimulus_type,soa_value_ms,jitter_ms,is_tactile,looming_stimulus_timestamp,tactile_stimulus_timestamp,soa_ms,jittered_ms,expected_response,marker_type
00:31.9,31950,1533600,,inhale,4,1,practice,,,100,False,,,,32050,False,1
00:39.9,39930,1916640,,exhale,4,2,practice,,,500,False,,,,40430,False,2
00:48.0,48000,2304000,,inhale,4,3,practice,,,400,False,,,,48400,False,1
00:56.0,55950,2685600,,exhale,4,4,practice,,,300,False,,,,56250,False,2
01:4.0,64019,3072912,,inhale,4,5,practice,,,500,False,,,,64519,False,1
01:12.0,72000,3456000,,exhale,4,6,practice,,,400,False,,,,72400,False,2
01:20.1,80069,3843359,,inhale,4,7,practice,,,100,False,,,,80169,False,1
01:28.0,88020,4224960,,exhale,4,8,practice,,,500,False,,,,88520,False,2
01:36.1,96090,4612320,,inhale,4,9,inhalation,brown,1000.0,100,True,01:36.2,01:37.2,97190.0,96190,True,1
01:44.1,104070,4995360,,exhale,4,10,baseline,,400.0,300,True,,01:44.8,104770.0,104370,True,2
01:52.1,112140,5382720,,inhale,4,11,inhalation,white,1500.0,100,True,01:52.2,01:53.7,113740.0,112240,True,1
02:0.1,120090,5764320,,exhale,4,12,baseline,,1500.0,200,True,,02:1.8,121790.0,120290,True,2
02:8.2,128160,6151680,,inhale,4,13,inhalation,pink,700.0,500,True,02:8.7,02:9.4,129360.0,128660,True,1
02:16.1,136139,6534719,,exhale,4,14,exhalation,blue,1000.0,200,True,02:16.3,02:17.3,137339.0,136339,True,2
02:24.2,144180,6920640,,inhale,4,15,catch,white,,300,False,02:24.5,,,144480,False,1
02:32.2,152160,7303680,,exhale,4,16,exhalation,blue,1500.0,300,True,02:32.5,02:34.0,153960.0,152460,True,2
02:40.2,160229,7691039,,inhale,4,17,inhalation,blue,400.0,200,True,02:40.4,02:40.8,160829.0,160429,True,1
02:48.2,168210,8074080,,exhale,4,18,exhalation,white,1000.0,200,True,02:48.4,02:49.4,169410.0,168410,True,2
02:56.2,176250,8460000,,inhale,4,19,baseline,,190.0,500,True,,02:56.9,176940.0,176750,True,1
03:4.2,184230,8843040,,exhale,4,20,baseline,,1500.0,100,True,,03:5.8,185830.0,184330,True,2
03:12.3,192300,9230400,,inhale,4,21,inhalation,blue,1500.0,500,True,03:12.8,03:14.3,194300.0,192800,True,1
03:20.2,200250,9612000,,exhale,4,22,exhalation,pink,190.0,100,True,03:20.4,03:20.5,200540.0,200350,True,2
03:28.3,208350,10000800,,inhale,4,23,inhalation,pink,1500.0,300,True,03:28.6,03:30.1,210150.0,208650,True,1
03:36.3,216300,10382400,,exhale,4,24,exhalation,pink,1000.0,100,True,03:36.4,03:37.4,217400.0,216400,True,2
03:44.4,224369,10769712,,inhale,4,25,baseline,,400.0,400,True,,03:45.2,225169.0,224769,True,1
03:52.3,232350,11152800,,exhale,4,26,baseline,,1000.0,100,True,,03:53.5,233450.0,232450,True,2
04:0.4,240390,11538720,,inhale,4,27,inhalation,pink,700.0,200,True,04:0.6,04:1.3,241290.0,240590,True,1
04:8.4,248370,11921760,,exhale,4,28,baseline,,700.0,400,True,,04:9.5,249470.0,248770,True,2
04:16.4,256410,12307680,,inhale,4,29,baseline,,1000.0,100,True,,04:17.5,257510.0,256510,True,1
04:24.4,264390,12690720,,exhale,4,30,exhalation,brown,700.0,500,True,04:24.9,04:25.6,265590.0,264890,True,2
04:32.5,272459,13078079,,inhale,4,31,catch,blue,,300,False,04:32.8,,,272759,False,1
04:40.4,280410,13459680,,exhale,4,32,exhalation,brown,1000.0,400,True,04:40.8,04:41.8,281810.0,280810,True,2
04:48.5,288510,13848480,,inhale,4,33,inhalation,brown,1500.0,500,True,04:49.0,04:50.5,290510.0,289010,True,1
04:56.5,296459,14230079,,exhale,4,34,exhalation,blue,400.0,100,True,04:56.6,04:57.0,296959.0,296559,True,2
05:4.5,304500,14616000,,inhale,4,35,inhalation,brown,1500.0,300,True,05:4.8,05:6.3,306300.0,304800,True,1
