retentionslot_timestamp,milliseconds,sample_index,description,breathphase,participant_id,trial_number,trial_type,stimulus_type,soa_value_ms,jitter_ms,is_tactile,looming_stimulus_timestamp,tactile_stimulus_timestamp,soa_ms,jittered_ms,expected_response,marker_type
00:31.9,31950,1533600,,inhale,21,1,practice,,,500,False,,,,32450,False,1
00:39.9,39930,1916640,,exhale,21,2,practice,,,500,False,,,,40430,False,2
00:48.0,48000,2304000,,inhale,21,3,practice,,,200,False,,,,48200,False,1
00:56.0,55950,2685600,,exhale,21,4,practice,,,400,False,,,,56350,False,2
01:4.0,64019,3072912,,inhale,21,5,practice,,,300,False,,,,64319,False,1
01:12.0,72000,3456000,,exhale,21,6,practice,,,300,False,,,,72300,False,2
01:20.1,80069,3843359,,inhale,21,7,practice,,,300,False,,,,80369,False,1
01:28.0,88020,4224960,,exhale,21,8,practice,,,400,False,,,,88420,False,2
01:36.1,96090,4612320,,inhale,21,9,inhalation,pink,700.0,100,True,01:36.2,01:36.9,96890.0,96190,True,1
01:44.1,104070,4995360,,exhale,21,10,exhalation,pink,400.0,100,True,01:44.2,01:44.6,104570.0,104170,True,2
01:52.1,112140,5382720,,inhale,21,11,baseline,,700.0,500,True,,01:53.3,113340.0,112640,True,1
02:0.1,120090,5764320,,exhale,21,12,baseline,,190.0,500,True,,02:0.8,120780.0,120590,True,2
02:8.2,128160,6151680,,inhale,21,13,inhalation,blue,190.0,300,True,02:8.5,02:8.7,128650.0,128460,True,1
02:16.1,136139,6534719,,exhale,21,14,exhalation,brown,190.0,300,True,02:16.4,02:16.6,136629.0,136439,True,2
02:24.2,144180,6920640,,inhale,21,15,baseline,,1500.0,400,True,,02:26.1,146080.0,144580,True,1
02:32.2,152160,7303680,,exhale,21,16,exhalation,pink,1500.0,400,True,02:32.6,02:34.1,154060.0,152560,True,2
02:40.2,160229,7691039,,inhale,21,17,inhalation,blue,400.0,100,True,02:40.3,02:40.7,160729.0,160329,True,1
02:48.2,168210,8074080,,exhale,21,18,baseline,,400.0,300,True,,02:48.9,168910.0,168510,True,2
02:56.2,176250,8460000,,inhale,21,19,inhalation,pink,1000.0,100,True,02:56.4,02:57.4,177350.0,176350,True,1
03:4.2,184230,8843040,,exhale,21,20,exhalation,white,700.0,200,True,03:4.4,03:5.1,185130.0,184430,True,2
03:12.3,192300,9230400,,inhale,21,21,inhalation,brown,400.0,500,True,03:12.8,03:13.2,193200.0,192800,True,1
03:20.2,200250,9612000,,exhale,21,22,exhalation,white,700.0,400,True,03:20.6,03:21.4,201350.0,200650,True,2
03:28.3,208350,10000800,,inhale,21,23,inhalation,blue,700.0,500,True,03:28.9,03:29.6,209550.0,208850,True,1
03:36.3,216300,10382400,,exhale,21,24,exhalation,pink,1000.0,100,True,03:36.4,03:37.4,217400.0,216400,True,2
03:44.4,224369,10769712,,inhale,21,25,baseline,,1500.0,200,True,,03:46.1,226069.0,224569,True,1
03:52.3,232350,11152800,,exhale,21,26,exhalation,blue,1500.0,100,True,03:52.5,03:54.0,233950.0,232450,True,2
04:0.4,240390,11538720,,inhale,21,27,inhalation,pink,190.0,300,True,04:0.7,04:0.9,240880.0,240690,True,1
04:8.4,248370,11921760,,exhale,21,28,exhalation,white,400.0,200,True,04:8.6,04:9.0,248970.0,248570,True,2
04:16.4,256410,12307680,,inhale,21,29,inhalation,white,700.0,400,True,04:16.8,04:17.5,257510.0,256810,True,1
04:24.4,264390,12690720,,exhale,21,30,exhalation,blue,1500.0,300,True,04:24.7,04:26.2,266190.0,264690,True,2
04:32.5,272459,13078079,,inhale,21,31,inhalation,blue,400.0,100,True,04:32.6,04:33.0,272959.0,272559,True,1
04:40.4,280410,13459680,,exhale,21,32,catch,brown,,400,False,04:40.8,,,280810,False,2
04:48.5,288510,13848480,,inhale,21,33,inhalation,brown,1000.0,300,True,04:48.8,04:49.8,289810.0,288810,True,1
04:56.5,296459,14230079,,exhale,21,34,exhalation,blue,1000.0,400,True,04:56.9,04:57.9,297859.0,296859,True,2
05:4.5,304500,14616000,,inhale,21,35,inhalation,white,1000.0,200,True,05:4.7,05:5.7,305700.0,304700,True,1
05:12.5,312480,14999040,,exhale,21,36,baseline,,190.0,200,True,,05:12.9,312870.0,312680,True,2
05:19.6,319570,15339407,,inhale,21,37,baseline,,1500.0,300,True,,05:21.4,321370.0,319870,True,1
05:20.6,320550,15386400,,inhale,21,38,inhalation,blue,1000.0,200,True,05:20.8,05:21.8,321750.0,320750,True,1
05:27.5,327520,15721007,,exhale,21,39,baseline,,1000.0,300,True,,05:28.8,328820.0,327820,True,2
05:28.5,328529,15769439,,exhale,21,40,exhalation,white,1500.0,300,True,05:28.8,05:30.3,330329.0,328829,True,2
05:35.6,335589,16108319,,inhale,21,41,inhalation,brown,1000.0,300,True,05:35.9,05:36.9,336889.0,335889,True,1
05:43.6,343570,16491407,,exhale,21,42,exhalation,white,1000.0,100,True,05:43.7,05:44.7,344670.0,343670,True,2
05:51.6,351641,16878768,,inhale,21,43,inhalation,pink,700.0,100,True,05:51.7,05:52.4,352441.0,351741,True,1
05:59.6,359591,17260368,,exhale,21,44,baseline,,190.0,500,True,,06:0.3,360281.0,360091,True,2
06:7.7,367661,17647728,,inhale,21,45,catch,blue,,100,False,06:7.8,,,367761,False,1
06:15.6,375641,18030768,,exhale,21,46,exhalation,white,1000.0,300,True,06:15.9,06:16.9,376941.0,375941,True,2
06:23.7,383711,18418128,,inhale,21,47,baseline,,190.0,100,True,,06:24.0,384001.0,383811,True,1
06:31.7,391661,18799728,,exhale,21,48,exhalation,brown,400.0,500,True,06:32.2,06:32.6,392561.0,392161,True,2
06:39.7,399731,19187088,,inhale,21,49,catch,white,,500,False,06:40.2,,,400231,False,1
06:47.7,407711,19570128,,exhale,21,50,exhalation,brown,1000.0,300,True,06:48.0,06:49.0,409011.0,408011,True,2
06:55.8,415751,19956048,,inhale,21,51,inhalation,brown,400.0,300,True,06:56.1,06:56.5,416451.0,416051,True,1
07:3.7,423731,20339088,,exhale,21,52,baseline,,1000.0,300,True,,07:5.0,425031.0,424031,True,2
07:11.8,431801,20726448,,inhale,21,53,inhalation,brown,1500.0,300,True,07:12.1,07:13.6,433601.0,432101,True,1
07:19.8,439781,21109488,,exhale,21,54,exhalation,white,1000.0,100,True,07:19.9,07:20.9,440881.0,439881,True,2
07:27.8,447821,21495408,,inhale,21,55,baseline,,190.0,500,True,,07:28.5,448511.0,448321,True,1
07:35.8,455801,21878448,,exhale,21,56,baseline,,190.0,300,True,,07:36.3,456291.0,456101,True,2
07:43.9,463871,22265808,,inhale,21,57,inhalation,brown,700.0,200,True,07:44.1,07:44.8,464771.0,464071,True,1
07:51.8,471821,22647408,,exhale,21,58,baseline,,400.0,300,True,,07:52.5,472521.0,472121,True,2
07:59.9,479921,23036208,,inhale,21,59,catch,blue,,400,False,08:0.3,,,480321,False,1
