retentionslot_timestamp,milliseconds,sample_index,description,breathphase,participant_id,trial_number,trial_type,stimulus_type,soa_value_ms,jitter_ms,is_tactile,looming_stimulus_timestamp,tactile_stimulus_timestamp,soa_ms,jittered_ms,expected_response,marker_type
00:31.9,31950,1533600,,inhale,5,1,practice,,,500,False,,,,32450,False,1
00:39.9,39930,1916640,,exhale,5,2,practice,,,300,False,,,,40230,False,2
00:48.0,48000,2304000,,inhale,5,3,practice,,,100,False,,,,48100,False,1
00:56.0,55950,2685600,,exhale,5,4,practice,,,300,False,,,,56250,False,2
01:4.0,64019,3072912,,inhale,5,5,practice,,,100,False,,,,64119,False,1
01:12.0,72000,3456000,,exhale,5,6,practice,,,200,False,,,,72200,False,2
01:20.1,80069,3843359,,inhale,5,7,practice,,,500,False,,,,80569,False,1
01:28.0,88020,4224960,,exhale,5,8,practice,,,100,False,,,,88120,False,2
01:36.1,96090,4612320,,inhale,5,9,inhalation,brown,1000.0,100,True,01:36.2,01:37.2,97190.0,96190,True,1
01:44.1,104070,4995360,,exhale,5,10,baseline,,1000.0,100,True,,01:45.2,105170.0,104170,True,2
01:52.1,112140,5382720,,inhale,5,11,catch,pink,,200,False,01:52.3,,,112340,False,1
02:0.1,120090,5764320,,exhale,5,12,exhalation,blue,1000.0,100,True,02:0.2,02:1.2,121190.0,120190,True,2
02:8.2,128160,6151680,,inhale,5,13,inhalation,blue,700.0,300,True,02:8.5,02:9.2,129160.0,128460,True,1
02:16.1,136139,6534719,,exhale,5,14,baseline,,700.0,500,True,,02:17.3,137339.0,136639,True,2
02:24.2,144180,6920640,,inhale,5,15,inhalation,blue,700.0,200,True,02:24.4,02:25.1,145080.0,144380,True,1
02:32.2,152160,7303680,,exhale,5,16,exhalation,brown,190.0,300,True,02:32.5,02:32.6,152650.0,152460,True,2
02:40.2,160229,7691039,,inhale,5,17,baseline,,400.0,500,True,,02:41.1,161129.0,160729,True,1
02:48.2,168210,8074080,,exhale,5,18,exhalation,white,400.0,100,True,02:48.3,02:48.7,168710.0,168310,True,2
02:56.2,176250,8460000,,inhale,5,19,inhalation,brown,1500.0,200,True,02:56.5,02:58.0,177950.0,176450,True,1
03:4.2,184230,8843040,,exhale,5,20,exhalation,white,1000.0,100,True,03:4.3,03:5.3,185330.0,184330,True,2
03:12.3,192300,9230400,,inhale,5,21,inhalation,brown,1000.0,500,True,03:12.8,03:13.8,193800.0,192800,True,1
03:20.2,200250,9612000,,exhale,5,22,exhalation,white,400.0,200,True,03:20.4,03:20.9,200850.0,200450,True,2
03:28.3,208350,10000800,,inhale,5,23,inhalation,blue,190.0,100,True,03:28.4,03:28.6,208640.0,208450,True,1
03:36.3,216300,10382400,,exhale,5,24,exhalation,pink,400.0,100,True,03:36.4,03:36.8,216800.0,216400,True,2
03:44.4,224369,10769712,,inhale,5,25,inhalation,brown,700.0,300,True,03:44.7,03:45.4,225369.0,224669,True,1
03:52.3,232350,11152800,,exhale,5,26,catch,pink,,400,False,03:52.8,,,232750,False,2
04:0.4,240390,11538720,,inhale,5,27,inhalation,brown,1500.0,200,True,04:0.6,04:2.1,242090.0,240590,True,1
04:8.4,248370,11921760,,exhale,5,28,exhalation,brown,190.0,100,True,04:8.5,04:8.7,248660.0,248470,True,2
04:16.4,256410,12307680,,inhale,5,29,inhalation,white,190.0,300,True,04:16.7,04:16.9,256900.0,256710,True,1
04:24.4,264390,12690720,,exhale,5,30,baseline,,400.0,100,True,,04:24.9,264890.0,264490,True,2
04:32.5,272459,13078079,,inhale,5,31,inhalation,blue,1000.0,200,True,04:32.7,04:33.7,273659.0,272659,True,1
04:40.4,280410,13459680,,exhale,5,32,baseline,,190.0,300,True,,04:40.9,280900.0,280710,True,2
04:48.5,288510,13848480,,inhale,5,33,inhalation,brown,700.0,500,True,04:49.0,04:49.7,289710.0,289010,True,1
04:56.5,296459,14230079,,exhale,5,34,exhalation,blue,190.0,400,True,04:56.9,04:57.0,297049.0,296859,True,2
05:4.5,304500,14616000,,inhale,5,35,baseline,,1000.0,400,True,,05:5.9,305900.0,304900,True,1
05:12.5,312480,14999040,,exhale,5,36,exhalation,white,190.0,300,True,05:12.8,05:13.0,312970.0,312780,True,2
05:19.6,319570,15339407,,inhale,5,37,inhalation,brown,190.0,500,True,05:20.1,05:20.3,320260.0,320070,True,1
05:20.6,320550,15386400,,inhale,5,38,inhalation,pink,1000.0,500,True,05:21.1,05:22.1,322050.0,321050,True,1
