retentionslot_timestamp,milliseconds,sample_index,description,breathphase,participant_id,trial_number,trial_type,stimulus_type,soa_value_ms,jitter_ms,is_tactile,looming_stimulus_timestamp,tactile_stimulus_timestamp,soa_ms,jittered_ms,expected_response,marker_type
00:31.9,31950,1533600,,inhale,19,1,practice,,,500,False,,,,32450,False,1
00:39.9,39930,1916640,,exhale,19,2,practice,,,400,False,,,,40330,False,2
00:48.0,48000,2304000,,inhale,19,3,practice,,,400,False,,,,48400,False,1
00:56.0,55950,2685600,,exhale,19,4,practice,,,500,False,,,,56450,False,2
01:4.0,64019,3072912,,inhale,19,5,practice,,,300,False,,,,64319,False,1
01:12.0,72000,3456000,,exhale,19,6,practice,,,200,False,,,,72200,False,2
01:20.1,80069,3843359,,inhale,19,7,practice,,,100,False,,,,80169,False,1
01:28.0,88020,4224960,,exhale,19,8,practice,,,400,False,,,,88420,False,2
01:36.1,96090,4612320,,inhale,19,9,inhalation,white,400.0,500,True,01:36.6,01:37.0,96990.0,96590,True,1
01:44.1,104070,4995360,,exhale,19,10,exhalation,pink,700.0,300,True,01:44.4,01:45.1,105070.0,104370,True,2
01:52.1,112140,5382720,,inhale,19,11,baseline,,400.0,100,True,,01:52.6,112640.0,112240,True,1
02:0.1,120090,5764320,,exhale,19,12,baseline,,190.0,500,True,,02:0.8,120780.0,120590,True,2
02:8.2,128160,6151680,,inhale,19,13,inhalation,brown,190.0,100,True,02:8.3,02:8.4,128450.0,128260,True,1
02:16.1,136139,6534719,,exhale,19,14,exhalation,pink,190.0,400,True,02:16.5,02:16.7,136729.0,136539,True,2
02:24.2,144180,6920640,,inhale,19,15,inhalation,pink,400.0,400,True,02:24.6,02:25.0,144980.0,144580,True,1
02:32.2,152160,7303680,,exhale,19,16,exhalation,pink,400.0,500,True,02:32.7,02:33.1,153060.0,152660,True,2
02:40.2,160229,7691039,,inhale,19,17,baseline,,1500.0,200,True,,02:41.9,161929.0,160429,True,1
02:48.2,168210,8074080,,exhale,19,18,exhalation,white,700.0,100,True,02:48.3,02:49.0,169010.0,168310,True,2
02:56.2,176250,8460000,,inhale,19,19,baseline,,1000.0,300,True,,02:57.5,177550.0,176550,True,1
03:4.2,184230,8843040,,exhale,19,20,baseline,,400.0,100,True,,03:4.7,184730.0,184330,True,2
03:12.3,192300,9230400,,inhale,19,21,baseline,,700.0,300,True,,03:13.3,193300.0,192600,True,1
03:20.2,200250,9612000,,exhale,19,22,baseline,,1000.0,500,True,,03:21.8,201750.0,200750,True,2
03:28.3,208350,10000800,,inhale,19,23,inhalation,white,700.0,500,True,03:28.9,03:29.6,209550.0,208850,True,1
