retentionslot_timestamp,milliseconds,sample_index,description,breathphase,participant_id,trial_number,trial_type,stimulus_type,soa_value_ms,jitter_ms,is_tactile,looming_stimulus_timestamp,tactile_stimulus_timestamp,soa_ms,jittered_ms,expected_response,marker_type
00:31.9,31950,1533600,,inhale,62,1,practice,,,100,False,,,,32050,False,1
00:39.9,39930,1916640,,exhale,62,2,practice,,,200,False,,,,40130,False,2
00:48.0,48000,2304000,,inhale,62,3,practice,,,300,False,,,,48300,False,1
00:56.0,55950,2685600,,exhale,62,4,practice,,,300,False,,,,56250,False,2
01:4.0,64019,3072912,,inhale,62,5,practice,,,200,False,,,,64219,False,1
01:12.0,72000,3456000,,exhale,62,6,practice,,,200,False,,,,72200,False,2
01:20.1,80069,3843359,,inhale,62,7,practice,,,100,False,,,,80169,False,1
01:28.0,88020,4224960,,exhale,62,8,practice,,,500,False,,,,88520,False,2
01:36.1,96090,4612320,,inhale,62,9,inhalation,brown,400.0,200,True,01:36.3,01:36.7,96690.0,96290,True,1
01:44.1,104070,4995360,,exhale,62,10,baseline,,400.0,300,True,,01:44.8,104770.0,104370,True,2
01:52.1,112140,5382720,,inhale,62,11,inhalation,white,190.0,400,True,01:52.5,01:52.7,112730.0,112540,True,1
02:0.1,120090,5764320,,exhale,62,12,baseline,,190.0,100,True,,02:0.4,120380.0,120190,True,2
02:8.2,128160,6151680,,inhale,62,13,inhalation,brown,1000.0,500,True,02:8.7,02:9.7,129660.0,128660,True,1
02:16.1,136139,6534719,,exhale,62,14,catch,pink,,200,False,02:16.3,,,136339,False,2
02:24.2,144180,6920640,,inhale,62,15,inhalation,brown,190.0,200,True,02:24.4,02:24.6,144570.0,144380,True,1
02:32.2,152160,7303680,,exhale,62,16,exhalation,pink,1500.0,200,True,02:32.4,02:33.9,153860.0,152360,True,2
02:40.2,160229,7691039,,inhale,62,17,inhalation,blue,400.0,100,True,02:40.3,02:40.7,160729.0,160329,True,1
02:48.2,168210,8074080,,exhale,62,18,exhalation,blue,190.0,100,True,02:48.3,02:48.5,168500.0,168310,True,2
02:56.2,176250,8460000,,inhale,62,19,baseline,,1000.0,400,True,,02:57.6,177650.0,176650,True,1
03:4.2,184230,8843040,,exhale,62,20,exhalation,blue,1000.0,200,True,03:4.4,03:5.4,185430.0,184430,True,2
03:12.3,192300,9230400,,inhale,62,21,baseline,,700.0,100,True,,03:13.1,193100.0,192400,True,1
03:20.2,200250,9612000,,exhale,62,22,baseline,,1000.0,300,True,,03:21.6,201550.0,200550,True,2
03:28.3,208350,10000800,,inhale,62,23,baseline,,1500.0,100,True,,03:29.9,209950.0,208450,True,1
03:36.3,216300,10382400,,exhale,62,24,exhalation,brown,400.0,400,True,03:36.7,03:37.1,217100.0,216700,True,2
03:44.4,224369,10769712,,inhale,62,25,baseline,,400.0,300,True,,03:45.1,225069.0,224669,True,1
03:52.3,232350,11152800,,exhale,62,26,exhalation,blue,700.0,300,True,03:52.6,03:53.4,233350.0,232650,True,2
04:0.4,240390,11538720,,inhale,62,27,catch,pink,,500,False,04:0.9,,,240890,False,1
04:8.4,248370,11921760,,exhale,62,28,exhalation,pink,700.0,500,True,04:8.9,04:9.6,249570.0,248870,True,2
04:16.4,256410,12307680,,inhale,62,29,inhalation,pink,1500.0,300,True,04:16.7,04:18.2,258210.0,256710,True,1
04:24.4,264390,12690720,,exhale,62,30,exhalation,white,190.0,400,True,04:24.8,04:25.0,264980.0,264790,True,2
04:32.5,272459,13078079,,inhale,62,31,baseline,,190.0,300,True,,04:32.9,272949.0,272759,True,1
04:40.4,280410,13459680,,exhale,62,32,exhalation,brown,1500.0,300,True,04:40.7,04:42.2,282210.0,280710,True,2
04:48.5,288510,13848480,,inhale,62,33,inhalation,brown,190.0,300,True,04:48.8,04:49.0,289000.0,288810,True,1
04:56.5,296459,14230079,,exhale,62,34,exhalation,pink,700.0,100,True,04:56.6,04:57.3,297259.0,296559,True,2
05:4.5,304500,14616000,,inhale,62,35,catch,brown,,400,False,05:4.9,,,304900,False,1
05:12.5,312480,14999040,,exhale,62,36,exhalation,white,400.0,400,True,05:12.9,05:13.3,313280.0,312880,True,2
05:19.6,319570,15339407,,inhale,62,37,inhalation,blue,1000.0,400,True,05:20.0,05:21.0,320970.0,319970,True,1
05:20.6,320550,15386400,,inhale,62,38,inhalation,blue,190.0,300,True,05:20.9,05:21.0,321040.0,320850,True,1
05:27.5,327520,15721007,,exhale,62,39,exhalation,pink,400.0,100,True,05:27.6,05:28.0,328020.0,327620,True,2
05:28.5,328529,15769439,,exhale,62,40,exhalation,pink,400.0,400,True,05:28.9,05:29.3,329329.0,328929,True,2
05:35.6,335589,16108319,,inhale,62,41,inhalation,blue,1500.0,100,True,05:35.7,05:37.2,337189.0,335689,True,1
05:43.6,343570,16491407,,exhale,62,42,baseline,,700.0,100,True,,05:44.4,344370.0,343670,True,2
05:51.6,351641,16878768,,inhale,62,43,baseline,,400.0,400,True,,05:52.4,352441.0,352041,True,1
