retentionslot_timestamp,milliseconds,sample_index,description,breathphase,participant_id,trial_number,trial_type,stimulus_type,soa_value_ms,jitter_ms,is_tactile,looming_stimulus_timestamp,tactile_stimulus_timestamp,soa_ms,jittered_ms,expected_response,marker_type
00:31.9,31950,1533600,,inhale,90,1,practice,,,200,False,,,,32150,False,1
00:39.9,39930,1916640,,exhale,90,2,practice,,,500,False,,,,40430,False,2
00:48.0,48000,2304000,,inhale,90,3,practice,,,100,False,,,,48100,False,1
00:56.0,55950,2685600,,exhale,90,4,practice,,,400,False,,,,56350,False,2
01:4.0,64019,3072912,,inhale,90,5,practice,,,100,False,,,,64119,False,1
01:12.0,72000,3456000,,exhale,90,6,practice,,,500,False,,,,72500,False,2
01:20.1,80069,3843359,,inhale,90,7,practice,,,300,False,,,,80369,False,1
01:28.0,88020,4224960,,exhale,90,8,practice,,,400,False,,,,88420,False,2
01:36.1,96090,4612320,,inhale,90,9,catch,white,,300,False,01:36.4,,,96390,False,1
01:44.1,104070,4995360,,exhale,90,10,exhalation,pink,1000.0,100,True,01:44.2,01:45.2,105170.0,104170,True,2
01:52.1,112140,5382720,,inhale,90,11,catch,blue,,400,False,01:52.5,,,112540,False,1
02:0.1,120090,5764320,,exhale,90,12,exhalation,white,1000.0,500,True,02:0.6,02:1.6,121590.0,120590,True,2
02:8.2,128160,6151680,,inhale,90,13,baseline,,400.0,100,True,,02:8.7,128660.0,128260,True,1
02:16.1,136139,6534719,,exhale,90,14,catch,white,,200,False,02:16.3,,,136339,False,2
02:24.2,144180,6920640,,inhale,90,15,inhalation,brown,700.0,400,True,02:24.6,02:25.3,145280.0,144580,True,1
02:32.2,152160,7303680,,exhale,90,16,baseline,,190.0,400,True,,02:32.8,152750.0,152560,True,2
02:40.2,160229,7691039,,inhale,90,17,inhalation,white,190.0,500,True,02:40.7,02:40.9,160919.0,160729,True,1
02:48.2,168210,8074080,,exhale,90,18,baseline,,1000.0,100,True,,02:49.3,169310.0,168310,True,2
02:56.2,176250,8460000,,inhale,90,19,inhalation,white,400.0,200,True,02:56.5,02:56.9,176850.0,176450,True,1
03:4.2,184230,8843040,,exhale,90,20,exhalation,white,1000.0,300,True,03:4.5,03:5.5,185530.0,184530,True,2
03:12.3,192300,9230400,,inhale,90,21,inhalation,pink,400.0,100,True,03:12.4,03:12.8,192800.0,192400,True,1
03:20.2,200250,9612000,,exhale,90,22,baseline,,400.0,200,True,,03:20.9,200850.0,200450,True,2
03:28.3,208350,10000800,,inhale,90,23,baseline,,400.0,500,True,,03:29.2,209250.0,208850,True,1
03:36.3,216300,10382400,,exhale,90,24,baseline,,190.0,200,True,,03:36.7,216690.0,216500,True,2
03:44.4,224369,10769712,,inhale,90,25,baseline,,190.0,100,True,,03:44.7,224659.0,224469,True,1
03:52.3,232350,11152800,,exhale,90,26,exhalation,pink,190.0,100,True,03:52.5,03:52.6,232640.0,232450,True,2
04:0.4,240390,11538720,,inhale,90,27,inhalation,pink,700.0,300,True,04:0.7,04:1.4,241390.0,240690,True,1
04:8.4,248370,11921760,,exhale,90,28,exhalation,pink,1500.0,200,True,04:8.6,04:10.1,250070.0,248570,True,2
04:16.4,256410,12307680,,inhale,90,29,inhalation,brown,1000.0,100,True,04:16.5,04:17.5,257510.0,256510,True,1
04:24.4,264390,12690720,,exhale,90,30,exhalation,pink,1000.0,400,True,04:24.8,04:25.8,265790.0,264790,True,2
04:32.5,272459,13078079,,inhale,90,31,inhalation,blue,1500.0,200,True,04:32.7,04:34.2,274159.0,272659,True,1
04:40.4,280410,13459680,,exhale,90,32,exhalation,brown,400.0,100,True,04:40.5,04:40.9,280910.0,280510,True,2
04:48.5,288510,13848480,,inhale,90,33,inhalation,brown,190.0,300,True,04:48.8,04:49.0,289000.0,288810,True,1
04:56.5,296459,14230079,,exhale,90,34,exhalation,pink,400.0,100,True,04:56.6,04:57.0,296959.0,296559,True,2
05:4.5,304500,14616000,,inhale,90,35,inhalation,blue,1000.0,400,True,05:4.9,05:5.9,305900.0,304900,True,1
05:12.5,312480,14999040,,exhale,90,36,exhalation,brown,400.0,200,True,05:12.7,05:13.1,313080.0,312680,True,2
05:19.6,319570,15339407,,inhale,90,37,inhalation,brown,1000.0,100,True,05:19.7,05:20.7,320670.0,319670,True,1
05:20.6,320550,15386400,,inhale,90,38,baseline,,1000.0,300,True,,05:21.9,321850.0,320850,True,1
05:27.5,327520,15721007,,exhale,90,39,catch,blue,,500,False,05:28.0,,,328020,False,2
05:28.5,328529,15769439,,exhale,90,40,baseline,,1000.0,500,True,,05:30.0,330029.0,329029,True,2
05:35.6,335589,16108319,,inhale,90,41,inhalation,blue,190.0,500,True,05:36.1,05:36.3,336279.0,336089,True,1
05:43.6,343570,16491407,,exhale,90,42,exhalation,pink,400.0,300,True,05:43.9,05:44.3,344270.0,343870,True,2
05:51.6,351641,16878768,,inhale,90,43,inhalation,white,1500.0,300,True,05:51.9,05:53.4,353441.0,351941,True,1
05:59.6,359591,17260368,,exhale,90,44,exhalation,pink,700.0,400,True,05:60.0,06:0.7,360691.0,359991,True,2
06:7.7,367661,17647728,,inhale,90,45,inhalation,pink,400.0,300,True,06:8.0,06:8.4,368361.0,367961,True,1
06:15.6,375641,18030768,,exhale,90,46,exhalation,blue,1000.0,300,True,06:15.9,06:16.9,376941.0,375941,True,2
06:23.7,383711,18418128,,inhale,90,47,inhalation,pink,1500.0,500,True,06:24.2,06:25.7,385711.0,384211,True,1
06:31.7,391661,18799728,,exhale,90,48,baseline,,1500.0,300,True,,06:33.5,393461.0,391961,True,2
06:39.7,399731,19187088,,inhale,90,49,baseline,,1500.0,500,True,,06:41.7,401731.0,400231,True,1
06:47.7,407711,19570128,,exhale,90,50,exhalation,brown,700.0,500,True,06:48.2,06:48.9,408911.0,408211,True,2
06:55.8,415751,19956048,,inhale,90,51,baseline,,1500.0,100,True,,06:57.4,417351.0,415851,True,1
07:3.7,423731,20339088,,exhale,90,52,catch,white,,500,False,07:4.2,,,424231,False,2
07:11.8,431801,20726448,,inhale,90,53,inhalation,pink,1000.0,400,True,07:12.2,07:13.2,433201.0,432201,True,1
07:19.8,439781,21109488,,exhale,90,54,baseline,,400.0,200,True,,07:20.4,440381.0,439981,True,2
07:27.8,447821,21495408,,inhale,90,55,inhalation,pink,1000.0,100,True,07:27.9,07:28.9,448921.0,447921,True,1
07:35.8,455801,21878448,,exhale,90,56,exhalation,white,1000.0,400,True,07:36.2,07:37.2,457201.0,456201,True,2
07:43.9,463871,22265808,,inhale,90,57,baseline,,190.0,500,True,,07:44.6,464561.0,464371,True,1
07:51.8,471821,22647408,,exhale,90,58,catch,brown,,400,False,07:52.2,,,472221,False,2
07:59.9,479921,23036208,,inhale,90,59,inhalation,pink,1500.0,200,True,08:0.1,08:1.6,481621.0,480121,True,1
08:7.9,487871,23417808,,exhale,90,60,baseline,,700.0,400,True,,08:9.0,488971.0,488271,True,2
08:15.9,495940,23805120,,inhale,90,61,baseline,,700.0,500,True,,08:17.1,497140.0,496440,True,1
08:23.9,503921,24188208,,exhale,90,62,exhalation,brown,1500.0,300,True,08:24.2,08:25.7,505721.0,504221,True,2
08:32.0,511961,24574128,,inhale,90,63,inhalation,brown,700.0,200,True,08:32.2,08:32.9,512861.0,512161,True,1
08:39.9,519941,24957168,,exhale,90,64,baseline,,190.0,500,True,,08:40.6,520631.0,520441,True,2
08:48.0,527981,25343088,,inhale,90,65,baseline,,400.0,400,True,,08:48.8,528781.0,528381,True,1
08:56.0,535961,25726128,,exhale,90,66,baseline,,190.0,100,True,,08:56.3,536251.0,536061,True,2
09:4.0,544030,26113487,,inhale,90,67,inhalation,pink,700.0,200,True,09:4.2,09:4.9,544930.0,544230,True,1
09:12.0,551981,26495088,,exhale,90,68,exhalation,blue,190.0,400,True,09:12.4,09:12.6,552571.0,552381,True,2
09:20.1,560081,26883888,,inhale,90,69,inhalation,blue,400.0,100,True,09:20.2,09:20.6,560581.0,560181,True,1
09:28.0,568030,27265487,,exhale,90,70,exhalation,brown,400.0,500,True,09:28.5,09:28.9,568930.0,568530,True,2
09:36.1,576070,27651407,,inhale,90,71,baseline,,1500.0,200,True,,09:37.8,577770.0,576270,True,1
09:44.1,584050,28034447,,exhale,90,72,exhalation,white,400.0,200,True,09:44.2,09:44.6,584650.0,584250,True,2
09:45.1,585051,28082448,,inhale,90,73,inhalation,white,700.0,100,True,09:45.2,09:45.9,585851.0,585151,True,1
09:53.0,593001,28464048,,exhale,90,74,exhalation,white,700.0,200,True,09:53.2,09:53.9,593901.0,593201,True,2
10:1.1,601070,28851360,,inhale,90,75,inhalation,white,190.0,500,True,10:1.6,10:1.8,601760.0,601570,True,1
10:9.1,609051,29234448,,exhale,90,76,exhalation,blue,700.0,100,True,10:9.2,10:9.9,609851.0,609151,True,2
10:17.1,617121,29621808,,inhale,90,77,inhalation,blue,1500.0,200,True,10:17.3,10:18.8,618821.0,617321,True,1
10:25.1,625071,30003408,,exhale,90,78,exhalation,blue,700.0,300,True,10:25.4,10:26.1,626071.0,625371,True,2
10:33.1,633141,30390768,,inhale,90,79,inhalation,white,700.0,200,True,10:33.3,10:34.0,634041.0,633341,True,1
10:41.1,641121,30773808,,exhale,90,80,exhalation,brown,190.0,200,True,10:41.3,10:41.5,641511.0,641321,True,2
10:49.2,649191,31161168,,inhale,90,81,inhalation,brown,1500.0,200,True,10:49.4,10:50.9,650891.0,649391,True,1
10:57.1,657141,31542768,,exhale,90,82,exhalation,pink,700.0,300,True,10:57.4,10:58.1,658141.0,657441,True,2
11:5.2,665211,31930128,,inhale,90,83,inhalation,pink,1500.0,100,True,11:5.3,11:6.8,666811.0,665311,True,1
11:13.2,673191,32313168,,exhale,90,84,exhalation,white,190.0,300,True,11:13.5,11:13.7,673681.0,673491,True,2
11:21.2,681231,32699088,,inhale,90,85,inhalation,blue,1500.0,500,True,11:21.7,11:23.2,683231.0,681731,True,1
11:29.2,689211,33082128,,exhale,90,86,exhalation,blue,400.0,200,True,11:29.4,11:29.8,689811.0,689411,True,2
11:37.3,697280,33469487,,inhale,90,87,inhalation,brown,400.0,300,True,11:37.6,11:38.0,697980.0,697580,True,1
11:45.3,705261,33852528,,exhale,90,88,exhalation,white,700.0,300,True,11:45.6,11:46.3,706261.0,705561,True,2
11:53.3,713301,34238448,,inhale,90,89,inhalation,white,1500.0,100,True,11:53.4,11:54.9,714901.0,713401,True,1
12:1.3,721281,34621488,,exhale,90,90,baseline,,700.0,500,True,,12:2.5,722481.0,721781,True,2
12:9.4,729351,35008848,,inhale,90,91,inhalation,white,1000.0,400,True,12:9.8,12:10.8,730751.0,729751,True,1
12:17.3,737301,35390448,,exhale,90,92,baseline,,1000.0,500,True,,12:18.8,738801.0,737801,True,2
12:25.4,745401,35779248,,inhale,90,93,catch,brown,,200,False,12:25.6,,,745601,False,1
12:33.4,753351,36160848,,exhale,90,94,exhalation,pink,190.0,300,True,12:33.7,12:33.8,753841.0,753651,True,2
12:41.4,761420,36548160,,inhale,90,95,baseline,,400.0,100,True,,12:41.9,761920.0,761520,True,1
12:49.4,769401,36931248,,exhale,90,96,exhalation,brown,190.0,300,True,12:49.7,12:49.9,769891.0,769701,True,2
12:57.4,777441,37317168,,inhale,90,97,inhalation,white,1500.0,300,True,12:57.7,12:59.2,779241.0,777741,True,1
13:5.4,785421,37700208,,exhale,90,98,baseline,,190.0,400,True,,13:6.0,786011.0,785821,True,2
13:13.5,793461,38086128,,inhale,90,99,baseline,,400.0,200,True,,13:14.1,794061.0,793661,True,1
13:21.4,801441,38469168,,exhale,90,100,baseline,,700.0,300,True,,13:22.4,802441.0,801741,True,2
13:29.5,809511,38856528,,inhale,90,101,inhalation,brown,190.0,400,True,13:29.9,13:30.1,810101.0,809911,True,1
13:37.5,817461,39238128,,exhale,90,102,exhalation,brown,1500.0,500,True,13:38.0,13:39.5,819461.0,817961,True,2
13:45.6,825561,39626928,,inhale,90,103,inhalation,brown,700.0,100,True,13:45.7,13:46.4,826361.0,825661,True,1
13:53.5,833511,40008528,,exhale,90,104,exhalation,blue,700.0,200,True,13:53.7,13:54.4,834411.0,833711,True,2
14:1.6,841551,40394448,,inhale,90,105,baseline,,400.0,500,True,,14:2.5,842451.0,842051,True,1
14:9.5,849531,40777488,,exhale,90,106,baseline,,1000.0,500,True,,14:11.0,851031.0,850031,True,2
14:10.5,850531,40825488,,inhale,90,107,inhalation,white,1000.0,500,True,14:11.0,14:12.0,852031.0,851031,True,1
14:18.5,858481,41207088,,exhale,90,108,baseline,,1500.0,200,True,,14:20.2,860181.0,858681,True,2
14:26.5,866550,41594400,,inhale,90,109,inhalation,blue,1000.0,400,True,14:26.9,14:27.9,867950.0,866950,True,1
14:34.5,874531,41977488,,exhale,90,110,exhalation,pink,1000.0,300,True,14:34.8,14:35.8,875831.0,874831,True,2
14:42.6,882601,42364848,,inhale,90,111,catch,brown,,500,False,14:43.1,,,883101,False,1
14:50.6,890551,42746448,,exhale,90,112,exhalation,blue,1000.0,400,True,14:51.0,14:52.0,891951.0,890951,True,2
14:58.6,898621,43133808,,inhale,90,113,inhalation,white,1000.0,500,True,14:59.1,15:0.1,900121.0,899121,True,1
15:6.6,906601,43516848,,exhale,90,114,exhalation,blue,190.0,200,True,15:6.8,15:7.0,906991.0,906801,True,2
15:14.7,914671,43904208,,inhale,90,115,baseline,,1000.0,300,True,,15:16.0,915971.0,914971,True,1
15:22.6,922621,44285808,,exhale,90,116,exhalation,pink,400.0,100,True,15:22.7,15:23.1,923121.0,922721,True,2
15:30.7,930691,44673168,,inhale,90,117,baseline,,400.0,300,True,,15:31.4,931391.0,930991,True,1
15:38.7,938671,45056208,,exhale,90,118,exhalation,white,1500.0,100,True,15:38.8,15:40.3,940271.0,938771,True,2
15:46.7,946711,45442128,,inhale,90,119,inhalation,white,190.0,400,True,15:47.1,15:47.3,947301.0,947111,True,1
15:54.7,954691,45825168,,exhale,90,120,catch,pink,,400,False,15:55.1,,,955091,False,2
16:2.8,962761,46212528,,inhale,90,121,inhalation,brown,190.0,200,True,16:3.0,16:3.2,963151.0,962961,True,1
16:10.7,970741,46595568,,exhale,90,122,exhalation,brown,1000.0,100,True,16:10.8,16:11.8,971841.0,970841,True,2
16:18.8,978781,46981488,,inhale,90,123,catch,blue,,300,False,16:19.1,,,979081,False,1
