retentionslot_timestamp,milliseconds,sample_index,description,breathphase,participant_id,trial_number,trial_type,stimulus_type,soa_value_ms,jitter_ms,is_tactile,looming_stimulus_timestamp,tactile_stimulus_timestamp,soa_ms,jittered_ms,expected_response,marker_type
00:31.9,31950,1533600,,inhale,54,1,practice,,,400,False,,,,32350,False,1
00:39.9,39930,1916640,,exhale,54,2,practice,,,300,False,,,,40230,False,2
00:48.0,48000,2304000,,inhale,54,3,practice,,,100,False,,,,48100,False,1
00:56.0,55950,2685600,,exhale,54,4,practice,,,200,False,,,,56150,False,2
01:4.0,64019,3072912,,inhale,54,5,practice,,,400,False,,,,64419,False,1
01:12.0,72000,3456000,,exhale,54,6,practice,,,100,False,,,,72100,False,2
01:20.1,80069,3843359,,inhale,54,7,practice,,,200,False,,,,80269,False,1
01:28.0,88020,4224960,,exhale,54,8,practice,,,100,False,,,,88120,False,2
01:36.1,96090,4612320,,inhale,54,9,baseline,,1000.0,100,True,,01:37.2,97190.0,96190,True,1
01:44.1,104070,4995360,,exhale,54,10,exhalation,white,1000.0,100,True,01:44.2,01:45.2,105170.0,104170,True,2
01:52.1,112140,5382720,,inhale,54,11,baseline,,1000.0,500,True,,01:53.6,113640.0,112640,True,1
02:0.1,120090,5764320,,exhale,54,12,exhalation,brown,1000.0,100,True,02:0.2,02:1.2,121190.0,120190,True,2
02:8.2,128160,6151680,,inhale,54,13,inhalation,pink,400.0,500,True,02:8.7,02:9.1,129060.0,128660,True,1
02:16.1,136139,6534719,,exhale,54,14,exhalation,white,700.0,500,True,02:16.6,02:17.3,137339.0,136639,True,2
02:24.2,144180,6920640,,inhale,54,15,inhalation,pink,190.0,300,True,02:24.5,02:24.7,144670.0,144480,True,1
02:32.2,152160,7303680,,exhale,54,16,baseline,,190.0,500,True,,02:32.9,152850.0,152660,True,2
02:40.2,160229,7691039,,inhale,54,17,inhalation,brown,700.0,300,True,02:40.5,02:41.2,161229.0,160529,True,1
02:48.2,168210,8074080,,exhale,54,18,exhalation,blue,1000.0,500,True,02:48.7,02:49.7,169710.0,168710,True,2
02:56.2,176250,8460000,,inhale,54,19,inhalation,pink,1000.0,100,True,02:56.4,02:57.4,177350.0,176350,True,1
03:4.2,184230,8843040,,exhale,54,20,baseline,,190.0,400,True,,03:4.8,184820.0,184630,True,2
03:12.3,192300,9230400,,inhale,54,21,baseline,,190.0,300,True,,03:12.8,192790.0,192600,True,1
03:20.2,200250,9612000,,exhale,54,22,baseline,,400.0,400,True,,03:21.1,201050.0,200650,True,2
03:28.3,208350,10000800,,inhale,54,23,inhalation,white,400.0,500,True,03:28.9,03:29.2,209250.0,208850,True,1
