participant_id,trial_number,stimulus_type,soa_condition_idx,soa_value_ms,looming_injection_sample,tactile_injection_sample,looming_time_ms,tactile_time_ms,jittered_ms,soa_ms,is_tactile,trial_type
22,56,right,1,400,2707200,2726400,56400.0,56800.0,56400,56800,True,baseline
22,27,right,2,700,6187200,6220800,128900.0,129600.0,128900,129600,True,inhalation
22,38,left,3,1000,8481600,8529600,176700.0,177700.0,176700,177700,True,exhalation
22,53,right,3,1000,8865600,8913600,184700.0,185700.0,184700,185700,True,baseline
22,25,front,0,190,9240000,9249120,192500.0,192690.0,192500,192690,True,inhalation
22,65,left,0,190,10406400,10415520,216800.0,216990.0,216800,216990,False,catch
22,68,left,3,1000,13867199,13915199,288899.9791666666,289899.9791666666,288900,289900,False,catch
22,55,front,0,190,14246400,14255520,296800.0,296990.0,296800,296990,True,baseline
22,37,left,2,700,14644800,14678400,305100.0,305800.0,305100,305800,True,exhalation
22,58,front,3,1000,15796800,15844800,329100.0,330100.0,329100,330100,True,baseline
22,28,front,3,1000,16929600,16977600,352700.0,353700.0,352700,353700,True,inhalation
22,48,right,3,1000,20798400,20846400,433300.0,434300.0,433300,434300,True,exhalation
22,32,front,2,700,23102400,23136000,481300.0,482000.0,481300,482000,True,inhalation
22,24,right,4,1500,26164800,26236800,545100.0,546600.0,545100,546600,True,inhalation
22,54,right,4,1500,27307200,27379200,568900.0,570400.0,568900,570400,True,baseline
22,57,left,2,700,28867200,28900800,601400.0,602100.0,601400,602100,True,baseline
22,44,front,4,1500,36172800,36244800,753600.0,755100.0,753600,755100,True,exhalation
22,30,right,0,190,38472000,38481120,801500.0,801690.0,801500,801690,True,inhalation
22,59,right,4,1500,39614400,39686400,825300.0,826800.0,825300,826800,True,baseline
22,35,front,0,190,40780800,40789920,849600.0,849790.0,849600,849790,True,exhalation
22,20,left,0,190,41548800,41557920,865600.0,865790.0,865600,865790,True,inhalation
22,26,left,1,400,46156800,46176000,961600.0,962000.0,961600,962000,True,inhalation
22,43,right,3,1000,46939200,46987200,977900.0,978900.0,977900,978900,True,exhalation
22,33,front,3,1000,49243151,49291151,1025898.9791666667,1026898.9791666667,1025899,1026899,True,inhalation
22,49,right,4,1500,50006352,50078352,1041799.0,1043299.0,1041799,1043299,True,exhalation
22,31,front,1,400,52320000,52339200,1090000.0,1090400.0,1090000,1090400,True,inhalation
22,61,front,1,400,52689600,52708799,1097700.0,1098099.9791666665,1097700,1098100,True,baseline
22,46,left,1,400,54628799,54648000,1138099.9791666665,1138500.0,1138100,1138500,True,exhalation
22,36,front,1,400,56164799,56184000,1170099.9791666665,1170500.0,1170100,1170500,True,exhalation
22,50,left,0,190,57307200,57316319,1193900.0,1194089.9791666665,1193900,1194090,True,baseline
22,63,left,3,1000,58857600,58905600,1226200.0,1227200.0,1226200,1227200,True,baseline
22,47,front,2,700,59246400,59280000,1234300.0,1235000.0,1234300,1235000,True,exhalation
22,40,left,0,190,60787200,60796319,1266400.0,1266589.9791666665,1266400,1266590,True,exhalation
22,66,left,1,400,61929600,61948799,1290200.0,1290599.9791666665,1290200,1290600,False,catch
22,41,left,1,400,62318400,62337600,1298300.0,1298700.0,1298300,1298700,True,exhalation
22,23,right,3,1000,63091200,63139200,1314400.0,1315400.0,1314400,1315400,True,inhalation
22,42,right,2,700,65380799,65414400,1362099.9791666665,1362800.0,1362100,1362800,True,exhalation
22,22,right,2,700,66168000,66201600,1378500.0,1379200.0,1378500,1379200,True,inhalation
22,67,right,2,700,68476800,68510400,1426600.0,1427300.0,1426600,1427300,False,catch
22,34,left,4,1500,69235200,69307200,1442400.0,1443900.0,1442400,1443900,True,inhalation
22,29,left,4,1500,72307200,72379200,1506400.0,1507900.0,1506400,1507900,True,inhalation
22,64,front,4,1500,73473600,73545600,1530700.0,1532200.0,1530700,1532200,True,baseline
22,52,front,2,700,74251200,74284800,1546900.0,1547600.0,1546900,1547600,True,baseline
22,51,right,1,400,76555200,76574400,1594900.0,1595300.0,1594900,1595300,True,baseline
22,69,front,4,1500,76545600,76617600,1594700.0,1596200.0,1594700,1596200,False,catch
22,45,front,0,190,79233600,79242720,1650700.0,1650890.0,1650700,1650890,True,exhalation
22,21,left,1,400,79996800,80016000,1666600.0,1667000.0,1666600,1667000,True,inhalation
22,60,left,0,190,81144000,81153120,1690500.0,1690690.0,1690500,1690690,True,baseline
22,62,left,2,700,81931200,81964800,1706900.0,1707600.0,1706900,1707600,True,baseline
22,39,right,4,1500,83851200,83923200,1746900.0,1748400.0,1746900,1748400,True,exhalation
