participant_id,trial_number,stimulus_type,soa_condition_idx,soa_value_ms,looming_injection_sample,tactile_injection_sample,looming_time_ms,tactile_time_ms,jittered_ms,soa_ms,is_tactile,trial_type
99,26,front,1,400,1569600,1588800,32700.000000000004,33100.0,32700,33100,True,inhalation
99,29,left,4,1500,4632000,4704000,96500.0,98000.0,96500,98000,True,inhalation
99,54,front,4,1500,5006400,5078400,104300.0,105800.0,104300,105800,True,baseline
99,67,front,2,700,8875200,8908800,184900.0,185600.0,184900,185600,False,catch
99,30,left,0,190,9249600,9258720,192700.0,192890.0,192700,192890,True,inhalation
99,31,left,1,400,13848000,13867199,288500.0,288899.9791666666,288500,288900,True,inhalation
99,36,left,1,400,16161600,16180800,336700.0,337100.0,336700,337100,True,exhalation
99,34,front,4,1500,16929600,17001600,352700.0,354200.0,352700,354200,True,inhalation
99,38,right,3,1000,19238400,19286400,400800.0,401800.0,400800,401800,True,exhalation
99,21,left,1,400,21547200,21566400,448900.0,449300.0,448900,449300,True,inhalation
99,43,left,3,1000,22315200,22363200,464900.0,465900.0,464900,465900,True,exhalation
99,23,right,3,1000,26160000,26208000,545000.0,546000.0,545000,546000,True,inhalation
99,28,left,3,1000,27696000,27744000,577000.0,578000.0,577000,578000,True,inhalation
99,47,right,2,700,28478399,28512000,593299.9791666666,594000.0,593300,594000,True,exhalation
99,32,right,2,700,29251200,29284800,609400.0,610100.0,609400,610100,True,inhalation
99,42,front,2,700,30009600,30043200,625200.0,625900.0,625200,625900,True,exhalation
99,65,front,0,190,31166399,31175520,649299.9791666666,649490.0,649300,649490,False,catch
99,33,front,3,1000,35400000,35448000,737500.0,738500.0,737500,738500,True,inhalation
99,24,right,4,1500,36931200,37003200,769400.0,770900.0,769400,770900,True,inhalation
99,20,front,0,190,38476800,38485920,801600.0,801790.0,801600,801790,True,inhalation
99,68,right,3,1000,38462400,38510400,801300.0,802300.0,801300,802300,False,catch
99,46,left,1,400,39240000,39259200,817500.0,817900.0,817500,817900,True,exhalation
99,27,right,2,700,43080000,43113600,897500.0,898200.0,897500,898200,True,inhalation
99,41,front,1,400,45384000,45403200,945500.0,945900.0,945500,945900,True,exhalation
99,64,right,4,1500,47313600,47385600,985700.0,987200.0,985700,987200,True,baseline
99,66,right,1,400,50774400,50793600,1057800.0,1058200.0,1057800,1058200,False,catch
99,69,left,4,1500,51542400,51614400,1073800.0,1075300.0,1073800,1075300,False,catch
99,59,left,4,1500,52694400,52766400,1097800.0,1099300.0,1097800,1099300,True,baseline
99,48,front,3,1000,54609600,54657600,1137700.0,1138700.0,1137700,1138700,True,exhalation
99,51,front,1,400,57321600,57340799,1194200.0,1194599.9791666665,1194200,1194600,True,baseline
99,63,right,3,1000,58080000,58128000,1210000.0,1211000.0,1210000,1211000,True,baseline
99,52,front,2,700,61161600,61195200,1274200.0,1274900.0,1274200,1274900,True,baseline
99,56,left,1,400,64243200,64262400,1338400.0,1338800.0,1338400,1338800,True,baseline
99,58,right,3,1000,65001600,65049600,1354200.0,1355200.0,1354200,1355200,True,baseline
99,40,front,0,190,66931200,66940319,1394400.0,1394589.9791666665,1394400,1394590,True,exhalation
99,39,right,4,1500,68476800,68548800,1426600.0,1428100.0,1426600,1428100,True,exhalation
99,53,right,3,1000,71160000,71208000,1482500.0,1483500.0,1482500,1483500,True,baseline
99,44,left,4,1500,71544000,71616000,1490500.0,1492000.0,1490500,1492000,True,exhalation
99,50,left,0,190,73483200,73492320,1530900.0,1531090.0,1530900,1531090,True,baseline
99,22,front,2,700,75388800,75422400,1570600.0,1571300.0,1570600,1571300,True,inhalation
99,61,front,1,400,75787200,75806400,1578900.0,1579300.0,1578900,1579300,True,baseline
99,35,right,0,190,77707200,77716320,1618900.0,1619090.0,1618900,1619090,True,exhalation
99,62,left,2,700,78072000,78105600,1626500.0,1627200.0,1626500,1627200,True,baseline
99,37,left,2,700,79243200,79276800,1650900.0,1651600.0,1650900,1651600,True,exhalation
99,57,front,2,700,79612800,79646400,1658600.0,1659300.0,1658600,1659300,True,baseline
99,60,left,0,190,80376000,80385120,1674500.0,1674690.0,1674500,1674690,True,baseline
99,49,right,4,1500,80760000,80832000,1682500.0,1684000.0,1682500,1684000,True,exhalation
99,45,front,0,190,82324800,82333920,1715100.0,1715290.0,1715100,1715290,True,exhalation
99,25,right,0,190,83083200,83092320,1730900.0,1731090.0,1730900,1731090,True,inhalation
99,55,right,0,190,83457600,83466720,1738700.0,1738890.0,1738700,1738890,True,baseline
