participant_id,trial_number,stimulus_type,soa_condition_idx,soa_value_ms,looming_injection_sample,tactile_injection_sample,looming_time_ms,tactile_time_ms,jittered_ms,soa_ms,is_tactile,trial_type
96,36,front,1,400,2337600,2356800,48700.0,49100.0,48700,49100,True,exhalation
96,43,left,3,1000,3854400,3902400,80300.0,81300.0,80300,81300,True,exhalation
96,53,front,3,1000,5016000,5064000,104500.0,105500.0,104500,105500,True,baseline
96,49,right,4,1500,5404800,5476800,112600.0,114100.0,112600,114100,True,exhalation
96,55,left,0,190,5788800,5797920,120600.0,120790.0,120600,120790,True,baseline
96,58,front,3,1000,8088000,8136000,168500.0,169500.0,168500,169500,True,baseline
96,52,left,2,700,9643200,9676800,200900.0,201600.0,200900,201600,True,baseline
96,66,right,1,400,10027200,10046400,208900.0,209300.0,208900,209300,False,catch
96,45,left,0,190,10012800,10021920,208600.0,208790.0,208600,208790,True,exhalation
96,24,right,4,1500,12326351,12398351,256798.97916666663,258298.97916666663,256799,258299,True,inhalation
96,31,front,1,400,13867199,13886400,288899.9791666666,289300.0,288900,289300,True,inhalation
96,61,left,1,400,14236800,14256000,296600.0,297000.0,296600,297000,True,baseline
96,26,left,1,400,15403199,15422400,320899.9791666666,321300.0,320900,321300,True,inhalation
96,54,front,4,1500,15777600,15849600,328700.0,330200.0,328700,330200,True,baseline
96,30,front,0,190,16939200,16948320,352900.0,353090.0,352900,353090,True,inhalation
96,40,right,0,190,17712000,17721120,369000.0,369190.0,369000,369190,True,exhalation
96,29,right,4,1500,21566400,21638400,449300.0,450800.0,449300,450800,True,inhalation
96,38,left,3,1000,25406399,25454399,529299.9791666666,530299.9791666666,529300,530300,True,exhalation
96,27,front,2,700,30777600,30811200,641200.0,641900.0,641200,641900,True,inhalation
96,32,left,2,700,32328000,32361600,673500.0,674200.0,673500,674200,True,inhalation
96,69,front,4,1500,33480000,33552000,697500.0,699000.0,697500,699000,False,catch
96,23,right,3,1000,35395200,35443200,737400.0,738400.0,737400,738400,True,inhalation
96,67,left,2,700,35788800,35822400,745600.0,746300.0,745600,746300,False,catch
96,39,front,4,1500,36163200,36235200,753400.0,754900.0,753400,754900,True,exhalation
96,28,front,3,1000,38481600,38529600,801700.0,802700.0,801700,802700,True,inhalation
96,56,right,1,400,40382400,40401600,841300.0,841700.0,841300,841700,True,baseline
96,35,right,0,190,40780800,40789920,849600.0,849790.0,849600,849790,True,exhalation
96,57,left,2,700,41160000,41193600,857500.0,858200.0,857500,858200,True,baseline
96,47,right,2,700,42331200,42364800,881900.0,882600.0,881900,882600,True,exhalation
96,41,front,1,400,45393600,45412800,945700.0,946100.0,945700,946100,True,exhalation
96,20,left,0,190,46166400,46175520,961800.0,961990.0,961800,961990,True,inhalation
96,48,left,3,1000,46934400,46982400,977800.0,978800.0,977800,978800,True,exhalation
96,62,front,2,700,50390400,50424000,1049800.0,1050500.0,1049800,1050500,True,baseline
96,63,right,3,1000,52704000,52752000,1098000.0,1099000.0,1098000,1099000,True,baseline
96,21,left,1,400,53860799,53880000,1122099.9791666665,1122500.0,1122100,1122500,True,inhalation
96,64,right,4,1500,57321600,57393600,1194200.0,1195700.0,1194200,1195700,True,baseline
96,25,left,0,190,66153600,66162720,1378200.0,1378390.0,1378200,1378390,True,inhalation
96,50,right,0,190,66547200,66556319,1386400.0,1386589.9791666665,1386400,1386590,True,baseline
96,42,front,2,700,66926400,66960000,1394300.0,1395000.0,1394300,1395000,True,exhalation
96,65,left,0,190,71932800,71941920,1498600.0,1498790.0,1498600,1498790,False,catch
96,51,left,1,400,72686400,72705600,1514300.0,1514700.0,1514300,1514700,True,baseline
96,44,right,4,1500,73089600,73161600,1522700.0,1524200.0,1522700,1524200,True,exhalation
96,68,left,3,1000,73473600,73521600,1530700.0,1531700.0,1530700,1531700,False,catch
96,59,right,4,1500,75777600,75849600,1578700.0,1580200.0,1578700,1580200,True,baseline
96,37,left,2,700,76156800,76190400,1586600.0,1587300.0,1586600,1587300,True,exhalation
96,33,right,3,1000,76939200,76987200,1602900.0,1603900.0,1602900,1603900,True,inhalation
96,34,right,4,1500,78456000,78528000,1634500.0,1636000.0,1634500,1636000,True,inhalation
96,22,front,2,700,79996800,80030400,1666600.0,1667300.0,1666600,1667300,True,inhalation
96,46,front,1,400,82305600,82324800,1714700.0,1715100.0,1714700,1715100,True,exhalation
96,60,front,0,190,84235200,84244320,1754900.0,1755090.0,1754900,1755090,True,baseline
