participant_id,trial_number,stimulus_type,soa_condition_idx,soa_value_ms,looming_injection_sample,tactile_injection_sample,looming_time_ms,tactile_time_ms,jittered_ms,soa_ms,is_tactile,trial_type
17,34,front,4,1500,1550399,1622399,32299.979166666668,33799.979166666664,32300,33800,True,inhalation
17,69,front,4,1500,2318400,2390400,48300.0,49800.0,48300,49800,False,catch
17,38,right,3,1000,2323200,2371200,48400.0,49400.0,48400,49400,True,exhalation
17,41,left,1,400,5409600,5428800,112700.0,113100.0,112700,113100,True,exhalation
17,62,left,2,700,6566400,6600000,136800.0,137500.0,136800,137500,True,baseline
17,66,front,1,400,7723200,7742400,160900.0,161300.0,160900,161300,False,catch
17,50,front,0,190,8088000,8097120,168500.0,168690.0,168500,168690,True,baseline
17,33,left,3,1000,12326351,12374351,256798.97916666663,257798.97916666663,256799,257799,True,inhalation
17,52,left,2,700,15009600,15043199,312700.0,313399.9791666666,312700,313400,True,baseline
17,45,left,0,190,16161600,16170720,336700.0,336890.0,336700,336890,True,exhalation
17,32,right,2,700,21566400,21600000,449300.0,450000.0,449300,450000,True,inhalation
17,49,front,4,1500,22320000,22392000,465000.0,466500.0,465000,466500,True,exhalation
17,30,front,0,190,24633551,24642672,513198.9791666666,513389.0,513199,513389,True,inhalation
17,53,front,3,1000,25007952,25055952,520999.0,521999.0,520999,521999,True,baseline
17,37,left,2,700,28483200,28516800,593400.0,594100.0,593400,594100,True,exhalation
17,21,right,1,400,29251200,29270399,609400.0,609799.9791666666,609400,609800,True,inhalation
17,65,left,0,190,30398399,30407520,633299.9791666666,633490.0,633300,633490,False,catch
17,47,right,2,700,31540800,31574399,657100.0,657799.9791666666,657100,657800,True,exhalation
17,31,right,1,400,32328000,32347200,673500.0,673900.0,673500,673900,True,inhalation
17,64,front,4,1500,33470399,33542399,697299.9791666666,698799.9791666666,697300,698800,True,baseline
17,44,left,4,1500,34622400,34694400,721300.0,722800.0,721300,722800,True,exhalation
17,24,left,4,1500,36926400,36998400,769300.0,770800.0,769300,770800,True,inhalation
17,46,left,1,400,39230400,39249600,817300.0,817700.0,817300,817700,True,exhalation
17,56,front,1,400,39624000,39643200,825500.0,825900.0,825500,825900,True,baseline
17,35,right,0,190,40771200,40780320,849400.0,849590.0,849400,849590,True,exhalation
17,59,right,4,1500,41160000,41232000,857500.0,859000.0,857500,859000,True,baseline
17,54,right,4,1500,42710400,42782400,889800.0,891300.0,889800,891300,True,baseline
17,23,left,3,1000,43080000,43128000,897500.0,898500.0,897500,898500,True,inhalation
17,60,left,0,190,45019200,45028320,937900.0,938090.0,937900,938090,True,baseline
17,51,front,1,400,46564800,46584000,970100.0,970500.0,970100,970500,True,baseline
17,43,front,3,1000,46944000,46992000,978000.0,979000.0,978000,979000,True,exhalation
17,57,left,2,700,48091200,48124800,1001900.0,1002600.0,1001900,1002600,True,baseline
17,29,front,4,1500,49233552,49305552,1025699.0000000001,1027199.0000000001,1025699,1027199,True,inhalation
17,55,right,0,190,54230400,54239520,1129800.0,1129990.0,1129800,1129990,True,baseline
17,36,front,1,400,54619200,54638400,1137900.0,1138300.0,1137900,1138300,True,exhalation
17,58,right,3,1000,55012799,55060799,1146099.9791666665,1147099.9791666665,1146100,1147100,True,baseline
17,61,right,1,400,55785600,55804799,1162200.0,1162599.9791666665,1162200,1162600,True,baseline
17,48,front,3,1000,56164799,56212799,1170099.9791666665,1171099.9791666665,1170100,1171100,True,exhalation
17,42,right,2,700,59246400,59280000,1234300.0,1235000.0,1234300,1235000,True,exhalation
17,27,front,2,700,60009600,60043200,1250200.0,1250900.0,1250200,1250900,True,inhalation
17,68,front,3,1000,63076799,63124799,1314099.9791666665,1315099.9791666665,1314100,1315100,False,catch
17,28,left,3,1000,64612799,64660799,1346099.9791666665,1347099.9791666665,1346100,1347100,True,inhalation
17,25,right,0,190,66163200,66172319,1378400.0,1378589.9791666665,1378400,1378590,True,inhalation
17,67,right,2,700,66926400,66960000,1394300.0,1395000.0,1394300,1395000,False,catch
17,20,left,0,190,73852800,73861920,1538600.0,1538790.0,1538600,1538790,True,inhalation
17,22,right,2,700,75393600,75427200,1570700.0,1571400.0,1570700,1571400,True,inhalation
17,63,left,3,1000,77308800,77356800,1610600.0,1611600.0,1610600,1611600,True,baseline
17,40,right,0,190,77688000,77697120,1618500.0,1618690.0,1618500,1618690,True,exhalation
17,26,front,1,400,83092800,83112000,1731100.0,1731500.0,1731100,1731500,True,inhalation
17,39,front,4,1500,85377600,85449600,1778700.0,1780200.0,1778700,1780200,True,exhalation
