participant_id,trial_number,stimulus_type,soa_condition_idx,soa_value_ms,looming_injection_sample,tactile_injection_sample,looming_time_ms,tactile_time_ms,jittered_ms,soa_ms,is_tactile,trial_type
15,37,front,2,700,2318400,2352000,48300.0,49000.0,48300,49000,True,exhalation
15,46,left,1,400,3873600,3892799,80700.0,81099.97916666667,80700,81100,True,exhalation
15,54,left,4,1500,4257600,4329600,88700.0,90200.0,88700,90200,True,baseline
15,48,right,3,1000,5395200,5443200,112400.0,113400.0,112400,113400,True,exhalation
15,57,right,2,700,5774400,5808000,120300.0,121000.0,120300,121000,True,baseline
15,66,left,1,400,6566400,6585599,136800.0,137199.9791666667,136800,137200,False,catch
15,33,front,3,1000,9240000,9288000,192500.0,193500.0,192500,193500,True,inhalation
15,53,front,3,1000,11932800,11980800,248600.0,249600.0,248600,249600,True,baseline
15,32,right,2,700,12321552,12355152,256699.0,257399.0,256699,257399,True,inhalation
15,39,left,4,1500,13094400,13166400,272800.0,274300.0,272800,274300,True,exhalation
15,62,right,2,700,14232000,14265600,296500.0,297200.0,296500,297200,True,baseline
15,36,left,1,400,20793600,20812800,433200.0,433600.0,433200,433600,True,exhalation
15,24,right,4,1500,21566400,21638400,449300.0,450800.0,449300,450800,True,inhalation
15,63,right,3,1000,22704000,22752000,473000.0,474000.0,473000,474000,True,baseline
15,56,front,1,400,23486400,23505600,489300.0,489700.0,489300,489700,True,baseline
15,29,left,4,1500,26174399,26246399,545299.9791666666,546799.9791666666,545300,546800,True,inhalation
15,55,right,0,190,26544000,26553120,553000.0,553190.0,553000,553190,True,baseline
15,38,front,3,1000,31555200,31603200,657400.0,658400.0,657400,658400,True,exhalation
15,41,front,1,400,33100800,33120000,689600.0,690000.0,689600,690000,True,exhalation
15,34,front,4,1500,33854400,33926400,705300.0,706800.0,705300,706800,True,inhalation
15,61,left,1,400,35779200,35798400,745400.0,745800.0,745400,745800,True,baseline
15,40,front,0,190,36177600,36186720,753700.0,753890.0,753700,753890,True,exhalation
15,26,front,1,400,36940800,36960000,769600.0,770000.0,769600,770000,True,inhalation
15,47,right,2,700,40766400,40800000,849300.0,850000.0,849300,850000,True,exhalation
15,22,front,2,700,41548800,41582400,865600.0,866300.0,865600,866300,True,inhalation
15,44,right,4,1500,42331200,42403200,881900.0,883400.0,881900,883400,True,exhalation
15,51,front,1,400,42705600,42724800,889700.0,890100.0,889700,890100,True,baseline
15,65,left,0,190,42715200,42724320,889900.0,890090.0,889900,890090,False,catch
15,30,right,0,190,43080000,43089120,897500.0,897690.0,897500,897690,True,inhalation
15,25,front,0,190,46166400,46175520,961800.0,961990.0,961800,961990,True,inhalation
15,64,left,4,1500,46550400,46622400,969800.0,971300.0,969800,971300,True,baseline
15,49,right,4,1500,46929600,47001600,977700.0,979200.0,977700,979200,True,exhalation
15,23,left,3,1000,47702400,47750400,993800.0,994800.0,993800,994800,True,inhalation
15,21,left,1,400,49233552,49252752,1025699.0000000001,1026098.9999999999,1025699,1026099,True,inhalation
15,68,front,3,1000,51940799,51988799,1082099.9791666665,1083099.9791666665,1082100,1083100,False,catch
15,42,left,2,700,53078400,53112000,1105800.0,1106500.0,1105800,1106500,True,exhalation
15,27,left,2,700,56942400,56976000,1186300.0,1187000.0,1186300,1187000,True,inhalation
15,35,left,0,190,59246400,59255520,1234300.0,1234490.0,1234300,1234490,True,exhalation
15,52,right,2,700,59616000,59649600,1242000.0,1242700.0,1242000,1242700,True,baseline
15,58,front,3,1000,61929600,61977600,1290200.0,1291200.0,1290200,1291200,True,baseline
15,45,right,0,190,63864000,63873120,1330500.0,1330690.0,1330500,1330690,True,exhalation
15,20,right,0,190,69235200,69244320,1442400.0,1442590.0,1442400,1442590,True,inhalation
15,59,front,4,1500,69614400,69686400,1450300.0,1451800.0,1450300,1451800,True,baseline
15,60,left,0,190,70382400,70391520,1466300.0,1466490.0,1466300,1466490,True,baseline
15,50,left,0,190,71918400,71927520,1498300.0,1498490.0,1498300,1498490,True,baseline
15,31,left,1,400,72316800,72336000,1506600.0,1507000.0,1506600,1507000,True,inhalation
15,28,right,3,1000,73852800,73900800,1538600.0,1539600.0,1538600,1539600,True,inhalation
15,67,front,2,700,75393600,75427200,1570700.0,1571400.0,1570700,1571400,False,catch
15,69,right,4,1500,83476800,83548800,1739100.0,1740600.0,1739100,1740600,False,catch
15,43,front,3,1000,85392000,85440000,1779000.0,1780000.0,1779000,1780000,True,exhalation
