participant_id,trial_number,stimulus_type,soa_condition_idx,soa_value_ms,looming_injection_sample,tactile_injection_sample,looming_time_ms,tactile_time_ms,jittered_ms,soa_ms,is_tactile,trial_type
85,60,left,0,190,2712000,2721120,56500.0,56690.0,56500,56690,True,baseline
85,31,front,1,400,3100799,3120000,64599.97916666667,65000.0,64600,65000,True,inhalation
85,51,front,1,400,3475200,3494400,72400.0,72800.0,72400,72800,True,baseline
85,44,left,4,1500,5400000,5472000,112500.0,114000.0,112500,114000,True,exhalation
85,25,right,0,190,7713599,7722719,160699.9791666667,160889.9791666667,160700,160890,True,inhalation
85,32,left,2,700,9254400,9288000,192800.0,193500.0,192800,193500,True,inhalation
85,47,left,2,700,10017600,10051200,208700.0,209400.0,208700,209400,True,exhalation
85,33,left,3,1000,15408000,15456000,321000.0,322000.0,321000,322000,True,inhalation
85,34,right,4,1500,18470400,18542400,384800.0,386300.0,384800,386300,True,inhalation
85,54,right,4,1500,18864000,18936000,393000.0,394500.0,393000,394500,True,baseline
85,20,right,0,190,21556800,21565920,449100.0,449290.0,449100,449290,True,inhalation
85,48,front,3,1000,23870400,23918400,497300.0,498300.0,497300,498300,True,exhalation
85,66,front,1,400,25017551,25036752,521198.9791666666,521599.00000000006,521199,521599,False,catch
85,37,front,2,700,31540800,31574399,657100.0,657799.9791666666,657100,657800,True,exhalation
85,56,front,1,400,31929600,31948800,665200.0,665600.0,665200,665600,True,baseline
85,59,right,4,1500,36556800,36628800,761600.0,763100.0,761600,763100,True,baseline
85,27,front,2,700,36936000,36969600,769500.0,770200.0,769500,770200,True,inhalation
85,50,front,0,190,37320000,37329120,777500.0,777690.0,777500,777690,True,baseline
85,24,front,4,1500,38481600,38553600,801700.0,803200.0,801700,803200,True,inhalation
85,28,right,3,1000,40012800,40060800,833600.0,834600.0,833600,834600,True,inhalation
85,38,right,3,1000,40785600,40833600,849700.0,850700.0,849700,850700,True,exhalation
85,43,left,3,1000,42331200,42379200,881900.0,882900.0,881900,882900,True,exhalation
85,40,front,0,190,43848000,43857120,913500.0,913690.0,913500,913690,True,exhalation
85,57,left,2,700,45782400,45816000,953800.0,954500.0,953800,954500,True,baseline
85,29,right,4,1500,47712000,47784000,994000.0,995500.0,994000,995500,True,inhalation
85,65,right,0,190,48091200,48100320,1001900.0,1002090.0,1001900,1002090,False,catch
85,41,front,1,400,50015952,50035151,1041999.0,1042398.9791666667,1041999,1042399,True,exhalation
85,58,right,3,1000,52699200,52747200,1097900.0,1098900.0,1097900,1098900,True,baseline
85,68,left,3,1000,52689600,52737600,1097700.0,1098700.0,1097700,1098700,False,catch
85,22,front,2,700,53846400,53880000,1121800.0,1122500.0,1121800,1122500,True,inhalation
85,67,front,2,700,58852799,58886400,1226099.9791666665,1226800.0,1226100,1226800,False,catch
85,36,right,1,400,59246400,59265600,1234300.0,1234700.0,1234300,1234700,True,exhalation
85,53,left,3,1000,61929600,61977600,1290200.0,1291200.0,1290200,1291200,True,baseline
85,46,right,1,400,62328000,62347200,1298500.0,1298900.0,1298500,1298900,True,exhalation
85,62,left,2,700,64228799,64262400,1338099.9791666665,1338800.0,1338100,1338800,True,baseline
85,23,left,3,1000,64627200,64675200,1346400.0,1347400.0,1346400,1347400,True,inhalation
85,52,left,2,700,65006400,65040000,1354300.0,1355000.0,1354300,1355000,True,baseline
85,26,front,1,400,66153600,66172799,1378200.0,1378599.9791666665,1378200,1378600,True,inhalation
85,39,right,4,1500,71548800,71620800,1490600.0,1492100.0,1490600,1492100,True,exhalation
85,30,left,0,190,72302400,72311520,1506300.0,1506490.0,1506300,1506490,True,inhalation
85,49,left,4,1500,73089600,73161600,1522700.0,1524200.0,1522700,1524200,True,exhalation
85,21,left,1,400,75384000,75403200,1570500.0,1570900.0,1570500,1570900,True,inhalation
85,69,front,4,1500,76550400,76622400,1594800.0,1596300.0,1594800,1596300,False,catch
85,63,front,3,1000,78854400,78902400,1642800.0,1643800.0,1642800,1643800,True,baseline
85,45,right,0,190,79238400,79247520,1650800.0,1650990.0,1650800,1650990,True,exhalation
85,55,right,0,190,79622400,79631520,1658800.0,1658990.0,1658800,1658990,True,baseline
85,61,right,1,400,81931200,81950400,1706900.0,1707300.0,1706900,1707300,True,baseline
85,64,front,4,1500,83472000,83544000,1739000.0,1740500.0,1739000,1740500,True,baseline
85,42,left,2,700,83856000,83889600,1747000.0,1747700.0,1747000,1747700,True,exhalation
85,35,front,0,190,85396800,85405920,1779100.0,1779290.0,1779100,1779290,True,exhalation
