participant_id,trial_number,stimulus_type,soa_condition_idx,soa_value_ms,looming_injection_sample,tactile_injection_sample,looming_time_ms,tactile_time_ms,jittered_ms,soa_ms,is_tactile,trial_type
8,43,left,3,1000,3868799,3916799,80599.97916666667,81599.97916666667,80600,81600,True,exhalation
8,36,left,1,400,6950400,6969599,144800.0,145199.9791666667,144800,145200,True,exhalation
8,60,left,0,190,7339200,7348320,152900.0,153090.0,152900,153090,True,baseline
8,24,right,4,1500,7708800,7780800,160600.0,162100.0,160600,162100,True,inhalation
8,33,left,3,1000,10785600,10833600,224700.0,225700.0,224700,225700,True,inhalation
8,23,left,3,1000,12321552,12369552,256699.0,257699.0,256699,257699,True,inhalation
8,54,right,4,1500,16550400,16622400,344800.0,346300.0,344800,346300,True,baseline
8,26,right,1,400,16944000,16963200,353000.0,353400.0,353000,353400,True,inhalation
8,66,left,1,400,17707200,17726400,368900.0,369300.0,368900,369300,False,catch
8,25,right,0,190,18475200,18484320,384900.0,385090.0,384900,385090,True,inhalation
8,49,left,4,1500,19252800,19324800,401100.0,402600.0,401100,402600,True,exhalation
8,59,front,4,1500,19646400,19718400,409300.0,410800.0,409300,410800,True,baseline
8,22,right,2,700,21552000,21585600,449000.0,449700.0,449000,449700,True,inhalation
8,48,front,3,1000,23851200,23899200,496900.0,497900.0,496900,497900,True,exhalation
8,32,front,2,700,27710399,27744000,577299.9791666666,578000.0,577300,578000,True,inhalation
8,44,front,4,1500,31545600,31617600,657200.0,658700.0,657200,658700,True,exhalation
8,35,front,0,190,33096000,33105120,689500.0,689690.0,689500,689690,True,exhalation
8,39,right,4,1500,34627200,34699200,721400.0,722900.0,721400,722900,True,exhalation
8,28,front,3,1000,35409600,35457600,737700.0,738700.0,737700,738700,True,inhalation
8,52,front,2,700,35793600,35827200,745700.0,746400.0,745700,746400,True,baseline
8,53,right,3,1000,38083200,38131200,793400.0,794400.0,793400,794400,True,baseline
8,42,right,2,700,39249600,39283200,817700.0,818400.0,817700,818400,True,exhalation
8,21,left,1,400,43084800,43104000,897600.0,898000.0,897600,898000,True,inhalation
8,65,front,0,190,43478400,43487520,905800.0,905990.0,905800,905990,False,catch
8,46,front,1,400,43857600,43876800,913700.0,914100.0,913700,914100,True,exhalation
8,57,front,2,700,45000000,45033600,937500.0,938200.0,937500,938200,True,baseline
8,37,left,2,700,45388800,45422400,945600.0,946300.0,945600,946300,True,exhalation
8,55,right,0,190,46555200,46564320,969900.0,970090.0,969900,970090,True,baseline
8,58,left,3,1000,48854400,48902400,1017800.0,1018800.0,1017800,1018800,True,baseline
8,40,right,0,190,56169600,56178720,1170200.0,1170390.0,1170200,1170390,True,exhalation
8,20,left,0,190,56923200,56932319,1185900.0,1186089.9791666665,1185900,1186090,True,inhalation
8,69,right,4,1500,58084799,58156799,1210099.9791666665,1211599.9791666665,1210100,1211600,False,catch
8,51,right,1,400,58843200,58862400,1225900.0,1226300.0,1225900,1226300,True,baseline
8,31,front,1,400,61555200,61574400,1282400.0,1282800.0,1282400,1282800,True,inhalation
8,64,right,4,1500,63480000,63552000,1322500.0,1324000.0,1322500,1324000,True,baseline
8,41,left,1,400,65390400,65409600,1362300.0,1362700.0,1362300,1362700,True,exhalation
8,62,front,2,700,68865600,68899200,1434700.0,1435400.0,1434700,1435400,True,baseline
8,29,left,4,1500,69230400,69302400,1442300.0,1443800.0,1442300,1443800,True,inhalation
8,47,right,2,700,70003200,70036800,1458400.0,1459100.0,1458400,1459100,True,exhalation
8,56,left,1,400,72705600,72724800,1514700.0,1515100.0,1514700,1515100,True,baseline
8,68,left,3,1000,73483200,73531200,1530900.0,1531900.0,1530900,1531900,False,catch
8,30,front,0,190,73862400,73871520,1538800.0,1538990.0,1538800,1538990,True,inhalation
8,45,right,0,190,74620800,74629920,1554600.0,1554790.0,1554600,1554790,True,exhalation
8,50,left,0,190,75772800,75781920,1578600.0,1578790.0,1578600,1578790,True,baseline
8,38,front,3,1000,76166400,76214400,1586800.0,1587800.0,1586800,1587800,True,exhalation
8,34,right,4,1500,76920000,76992000,1602500.0,1604000.0,1602500,1604000,True,inhalation
8,63,front,3,1000,78091200,78139200,1626900.0,1627900.0,1626900,1627900,True,baseline
8,27,front,2,700,80001600,80035200,1666700.0,1667400.0,1666700,1667400,True,inhalation
8,61,left,1,400,84225600,84244800,1754700.0,1755100.0,1754700,1755100,True,baseline
8,67,front,2,700,85003200,85036800,1770900.0,1771600.0,1770900,1771600,False,catch
