participant_id,trial_number,stimulus_type,soa_condition_idx,soa_value_ms,looming_injection_sample,tactile_injection_sample,looming_time_ms,tactile_time_ms,jittered_ms,soa_ms,is_tactile,trial_type
29,52,left,2,700,1934399,1968000,40299.979166666664,41000.0,40300,41000,True,baseline
29,41,left,1,400,2323200,2342400,48400.0,48800.0,48400,48800,True,exhalation
29,42,right,2,700,3873600,3907200,80700.0,81400.0,80700,81400,True,exhalation
29,63,right,3,1000,5793600,5841600,120700.0,121700.0,120700,121700,True,baseline
29,23,right,3,1000,7708800,7756800,160600.0,161600.0,160600,161600,True,inhalation
29,58,front,3,1000,8870400,8918400,184800.0,185800.0,184800,185800,True,baseline
29,51,left,1,400,9628800,9648000,200600.0,201000.0,200600,201000,True,baseline
29,48,front,3,1000,17707200,17755200,368900.0,369900.0,368900,369900,True,exhalation
29,20,right,0,190,18484800,18493920,385100.0,385290.0,385100,385290,True,inhalation
29,43,left,3,1000,20784000,20832000,433000.0,434000.0,433000,434000,True,exhalation
29,66,front,1,400,24240000,24259200,505000.0,505400.0,505000,505400,False,catch
29,68,left,3,1000,25401600,25449600,529200.0,530200.0,529200,530200,False,catch
29,44,left,4,1500,25401600,25473600,529200.0,530700.0,529200,530700,True,exhalation
29,32,front,2,700,26164800,26198399,545100.0,545799.9791666666,545100,545800,True,inhalation
29,47,front,2,700,28483200,28516800,593400.0,594100.0,593400,594100,True,exhalation
29,35,right,0,190,31545600,31554720,657200.0,657390.0,657200,657390,True,exhalation
29,29,front,4,1500,33873600,33945600,705700.0,707200.0,705700,707200,True,inhalation
29,36,right,1,400,36158400,36177600,753300.0,753700.0,753300,753700,True,exhalation
29,65,left,0,190,36561600,36570720,761700.0,761890.0,761700,761890,False,catch
29,50,left,0,190,36552000,36561120,761500.0,761690.0,761500,761690,True,baseline
29,30,front,0,190,36940800,36949920,769600.0,769790.0,769600,769790,True,inhalation
29,56,right,1,400,37324800,37344000,777600.0,778000.0,777600,778000,True,baseline
29,49,left,4,1500,37713600,37785600,785700.0,787200.0,785700,787200,True,exhalation
29,27,right,2,700,38481600,38515200,801700.0,802400.0,801700,802400,True,inhalation
29,69,right,4,1500,40003200,40075200,833400.0,834900.0,833400,834900,False,catch
29,25,left,0,190,41548800,41557920,865600.0,865790.0,865600,865790,True,inhalation
29,22,left,2,700,43084800,43118400,897600.0,898300.0,897600,898300,True,inhalation
29,40,right,0,190,45403200,45412320,945900.0,946090.0,945900,946090,True,exhalation
29,54,front,4,1500,47323200,47395200,985900.0,987400.0,985900,987400,True,baseline
29,53,front,3,1000,50400000,50448000,1050000.0,1051000.0,1050000,1051000,True,baseline
29,26,right,1,400,52310400,52329600,1089800.0,1090200.0,1089800,1090200,True,inhalation
29,38,front,3,1000,54628799,54676799,1138099.9791666665,1139099.9791666665,1138100,1139100,True,exhalation
29,64,right,4,1500,56553600,56625600,1178200.0,1179700.0,1178200,1179700,True,baseline
29,28,right,3,1000,56932799,56980799,1186099.9791666665,1187099.9791666665,1186100,1187100,True,inhalation
29,55,left,0,190,57326400,57335520,1194300.0,1194490.0,1194300,1194490,True,baseline
29,33,left,3,1000,60009600,60057600,1250200.0,1251200.0,1250200,1251200,True,inhalation
29,24,front,4,1500,63091200,63163200,1314400.0,1315900.0,1314400,1315900,True,inhalation
29,39,front,4,1500,63859200,63931200,1330400.0,1331900.0,1330400,1331900,True,exhalation
29,57,front,2,700,64228799,64262400,1338099.9791666665,1338800.0,1338100,1338800,True,baseline
29,67,right,2,700,66153600,66187200,1378200.0,1378900.0,1378200,1378900,False,catch
29,21,front,1,400,70771200,70790400,1474400.0,1474800.0,1474400,1474800,True,inhalation
29,45,front,0,190,73084800,73093920,1522600.0,1522790.0,1522600,1522790,True,exhalation
29,34,left,4,1500,73852800,73924800,1538600.0,1540100.0,1538600,1540100,True,inhalation
29,61,right,1,400,75000000,75019200,1562500.0,1562900.0,1562500,1562900,True,baseline
29,62,right,2,700,76555200,76588800,1594900.0,1595600.0,1594900,1595600,True,baseline
29,60,front,0,190,78086400,78095520,1626800.0,1626990.0,1626800,1626990,True,baseline
29,46,left,1,400,79224000,79243200,1650500.0,1650900.0,1650500,1650900,True,exhalation
29,31,left,1,400,79996800,80016000,1666600.0,1667000.0,1666600,1667000,True,inhalation
29,59,left,4,1500,82708800,82780800,1723100.0,1724600.0,1723100,1724600,True,baseline
29,37,right,2,700,85382400,85416000,1778800.0,1779500.0,1778800,1779500,True,exhalation
