participant_id,trial_number,stimulus_type,soa_condition_idx,soa_value_ms,looming_injection_sample,tactile_injection_sample,looming_time_ms,tactile_time_ms,jittered_ms,soa_ms,is_tactile
0,20,right,0,190,1569600,1578720,32700.000000000004,32890.0,32700.000000000004,32890.0,True
0,21,front,1,400,1944000,1963200,40500.0,40900.0,40500.0,40900.0,True
0,22,left,2,700,2337600,2371200,48700.0,49400.0,48700.0,49400.0,True
0,23,front,0,190,2707200,2716320,56400.0,56590.0,56400.0,56590.0,True
0,25,right,2,700,3480000,3513600,72500.0,73200.0,72500.0,73200.0,True
0,26,right,0,190,3873600,3882720,80700.0,80890.0,80700.0,80890.0,True
0,27,front,1,400,4252800,4272000,88600.0,89000.0,88600.0,89000.0,True
0,28,left,2,700,4632000,4665600,96500.0,97200.0,96500.0,97200.0,True
0,24,left,1,400,3096000,3115200,64500.0,64900.00000000001,64500.0,64900.0,True
0,29,front,0,190,5025600,5034720,104700.0,104890.0,104700.0,104890.0,False
