participant_id,trial_number,stimulus_type,soa_condition_idx,soa_value_ms,looming_injection_sample,tactile_injection_sample,looming_time_ms,tactile_time_ms,jittered_ms,soa_ms,is_tactile,trial_type
10,55,right,0,190,1939200,1948320,40400.0,40590.0,40400,40590,True,baseline
10,24,right,4,1500,3100799,3172799,64599.97916666667,66099.97916666667,64600,66100,True,inhalation
10,27,right,2,700,6172800,6206400,128600.0,129300.00000000001,128600,129300,True,inhalation
10,30,front,0,190,7704000,7713120,160500.0,160690.0,160500,160690,True,inhalation
10,43,right,3,1000,8476800,8524800,176600.0,177600.0,176600,177600,True,exhalation
10,20,right,0,190,10780800,10789920,224600.0,224790.0,224600,224790,True,inhalation
10,22,left,2,700,13867199,13900800,288899.9791666666,289600.0,288900,289600,True,inhalation
10,21,left,1,400,15398400,15417600,320800.0,321200.0,320800,321200,True,inhalation
10,33,left,3,1000,16939200,16987200,352900.0,353900.0,352900,353900,True,inhalation
10,63,left,3,1000,19627200,19675200,408900.0,409900.0,408900,409900,True,baseline
10,60,right,0,190,25017551,25026672,521198.9791666666,521389.0,521199,521389,True,baseline
10,58,left,3,1000,27326399,27374399,569299.9791666666,570299.9791666666,569300,570300,True,baseline
10,29,front,4,1500,27691200,27763200,576900.0,578400.0,576900,578400,True,inhalation
10,37,left,2,700,28488000,28521600,593500.0,594200.0,593500,594200,True,exhalation
10,35,front,0,190,30024000,30033120,625500.0,625690.0,625500,625690,True,exhalation
10,52,front,2,700,30403200,30436800,633400.0,634100.0,633400,634100,True,baseline
10,25,front,0,190,30782399,30791520,641299.9791666666,641490.0,641300,641490,True,inhalation
10,66,right,1,400,31560000,31579200,657500.0,657900.0,657500,657900,False,catch
10,41,front,1,400,33091200,33110399,689400.0,689799.9791666666,689400,689800,True,exhalation
10,65,front,0,190,34248000,34257120,713500.0,713690.0,713500,713690,False,catch
10,34,left,4,1500,36936000,37008000,769500.0,771000.0,769500,771000,True,inhalation
10,49,left,4,1500,39240000,39312000,817500.0,819000.0,817500,819000,True,exhalation
10,53,right,3,1000,41169600,41217600,857700.0,858700.0,857700,858700,True,baseline
10,32,left,2,700,41558400,41592000,865800.0,866500.0,865800,866500,True,inhalation
10,64,front,4,1500,41937600,42009600,873700.0,875200.0,873700,875200,True,baseline
10,42,front,2,700,42316800,42350400,881600.0,882300.0,881600,882300,True,exhalation
10,45,left,0,190,46948800,46957920,978100.0,978290.0,978100,978290,True,exhalation
10,28,front,3,1000,49247952,49295952,1025999.0,1026999.0,1025999,1026999,True,inhalation
10,51,left,1,400,52708799,52728000,1098099.9791666665,1098500.0,1098100,1098500,True,baseline
10,48,left,3,1000,53083200,53131200,1105900.0,1106900.0,1105900,1106900,True,exhalation
10,50,front,0,190,56544000,56553120,1178000.0,1178190.0,1178000,1178190,True,baseline
10,39,front,4,1500,59241600,59313600,1234200.0,1235700.0,1234200,1235700,True,exhalation
10,68,left,3,1000,62702400,62750400,1306300.0,1307300.0,1306300,1307300,False,catch
10,62,left,2,700,63475200,63508799,1322400.0,1323099.9791666665,1322400,1323100,True,baseline
10,59,left,4,1500,64243200,64315200,1338400.0,1339900.0,1338400,1339900,True,baseline
10,31,front,1,400,67704000,67723200,1410500.0,1410900.0,1410500,1410900,True,inhalation
10,40,right,0,190,68481600,68490720,1426700.0,1426890.0,1426700,1426890,True,exhalation
10,38,right,3,1000,70012800,70060800,1458600.0,1459600.0,1458600,1459600,True,exhalation
10,46,right,1,400,71539200,71558400,1490400.0,1490800.0,1490400,1490800,True,exhalation
10,54,front,4,1500,74241600,74313600,1546700.0,1548200.0,1546700,1548200,True,baseline
10,44,left,4,1500,74616000,74688000,1554500.0,1556000.0,1554500,1556000,True,exhalation
10,23,right,3,1000,76924800,76972800,1602600.0,1603600.0,1602600,1603600,True,inhalation
10,36,front,1,400,79228800,79248000,1650600.0,1651000.0,1650600,1651000,True,exhalation
10,26,right,1,400,79996800,80016000,1666600.0,1667000.0,1666600,1667000,True,inhalation
10,69,left,4,1500,80006400,80078400,1666800.0,1668300.0,1666800,1668300,False,catch
10,56,right,1,400,81940800,81960000,1707100.0,1707500.0,1707100,1707500,True,baseline
10,67,front,2,700,83846400,83880000,1746800.0,1747500.0,1746800,1747500,False,catch
10,57,front,2,700,84235200,84268800,1754900.0,1755600.0,1754900,1755600,True,baseline
10,47,right,2,700,85392000,85425600,1779000.0,1779700.0,1779000,1779700,True,exhalation
10,61,right,1,400,85756800,85776000,1786600.0,1787000.0,1786600,1787000,True,baseline
