participant_id,trial_number,stimulus_type,soa_condition_idx,soa_value_ms,looming_injection_sample,tactile_injection_sample,looming_time_ms,tactile_time_ms,jittered_ms,soa_ms,is_tactile,trial_type
66,29,left,4,1500,1550399,1622399,32299.979166666668,33799.979166666664,32300,33800,True,inhalation
66,65,left,0,190,1953600,1962720,40700.0,40890.0,40700,40890,False,catch
66,40,right,0,190,3854400,3863519,80300.0,80489.97916666667,80300,80490,True,exhalation
66,21,right,1,400,4627200,4646400,96400.0,96800.0,96400,96800,True,inhalation
66,52,front,2,700,5788800,5822400,120600.0,121300.0,120600,121300,True,baseline
66,54,front,4,1500,8088000,8160000,168500.0,170000.0,168500,170000,True,baseline
66,39,right,4,1500,11553600,11625600,240700.0,242200.0,240700,242200,True,exhalation
66,47,left,2,700,13084800,13118400,272600.0,273300.0,272600,273300,True,exhalation
66,59,front,4,1500,14246400,14318400,296800.0,298300.0,296800,298300,True,baseline
66,66,left,1,400,16545600,16564800,344700.0,345100.0,344700,345100,False,catch
66,33,left,3,1000,16939200,16987200,352900.0,353900.0,352900,353900,True,inhalation
66,44,left,4,1500,17697600,17769600,368700.0,370200.0,368700,370200,True,exhalation
66,22,left,2,700,18470400,18504000,384800.0,385500.0,384800,385500,True,inhalation
66,27,left,2,700,21566400,21600000,449300.0,450000.0,449300,450000,True,inhalation
66,68,right,3,1000,21940800,21988800,457100.0,458100.0,457100,458100,False,catch
66,35,front,0,190,23851200,23860320,496900.0,497090.0,496900,497090,True,exhalation
66,56,front,1,400,25017551,25036752,521198.9791666666,521599.00000000006,521199,521599,True,baseline
66,46,right,1,400,30009600,30028800,625200.0,625600.0,625200,625600,True,exhalation
66,42,front,2,700,31560000,31593600,657500.0,658200.0,657500,658200,True,exhalation
66,45,left,0,190,37699200,37708320,785400.0,785590.0,785400,785590,True,exhalation
66,57,left,2,700,38851200,38884800,809400.0,810100.0,809400,810100,True,baseline
66,50,right,0,190,39624000,39633120,825500.0,825690.0,825500,825690,True,baseline
66,51,left,1,400,41169600,41188800,857700.0,858100.0,857700,858100,True,baseline
66,24,front,4,1500,41544000,41616000,865500.0,867000.0,865500,867000,True,inhalation
66,30,right,0,190,43094400,43103520,897800.0,897990.0,897800,897990,True,inhalation
66,69,front,4,1500,46934400,47006400,977800.0,979300.0,977800,979300,False,catch
66,58,right,3,1000,49631952,49679952,1033999.0,1034999.0,1033999,1034999,True,baseline
66,62,right,2,700,51172799,51206400,1066099.9791666665,1066800.0,1066100,1066800,True,baseline
66,48,front,3,1000,51537600,51585600,1073700.0,1074700.0,1073700,1074700,True,exhalation
66,20,front,0,190,52305600,52314720,1089700.0,1089890.0,1089700,1089890,True,inhalation
66,41,front,1,400,53088000,53107200,1106000.0,1106400.0,1106000,1106400,True,exhalation
66,28,front,3,1000,53846400,53894400,1121800.0,1122800.0,1121800,1122800,True,inhalation
66,53,left,3,1000,55771200,55819200,1161900.0,1162900.0,1161900,1162900,True,baseline
66,49,right,4,1500,59232000,59304000,1234000.0,1235500.0,1234000,1235500,True,exhalation
66,34,right,4,1500,61560000,61632000,1282500.0,1284000.0,1282500,1284000,True,inhalation
66,37,front,2,700,63859200,63892799,1330400.0,1331099.9791666665,1330400,1331100,True,exhalation
66,55,left,0,190,64228799,64237920,1338099.9791666665,1338290.0,1338100,1338290,True,baseline
66,60,left,0,190,65006400,65015520,1354300.0,1354490.0,1354300,1354490,True,baseline
66,61,right,1,400,70382400,70401600,1466300.0,1466700.0,1466300,1466700,True,baseline
66,31,right,1,400,70776000,70795200,1474500.0,1474900.0,1474500,1474900,True,inhalation
66,23,left,3,1000,72307200,72355200,1506400.0,1507400.0,1506400,1507400,True,inhalation
66,63,right,3,1000,72691200,72739200,1514400.0,1515400.0,1514400,1515400,True,baseline
66,25,front,0,190,73862400,73871520,1538800.0,1538990.0,1538800,1538990,True,inhalation
66,67,left,2,700,76171200,76204800,1586900.0,1587600.0,1586900,1587600,False,catch
66,64,front,4,1500,76555200,76627200,1594900.0,1596400.0,1594900,1596400,True,baseline
66,32,front,2,700,76924800,76958400,1602600.0,1603300.0,1602600,1603300,True,inhalation
66,43,right,3,1000,77702400,77750400,1618800.0,1619800.0,1618800,1619800,True,exhalation
66,26,right,1,400,78475200,78494400,1634900.0,1635300.0,1634900,1635300,True,inhalation
66,38,left,3,1000,80774400,80822400,1682800.0,1683800.0,1682800,1683800,True,exhalation
66,36,left,1,400,82315200,82334400,1714900.0,1715300.0,1714900,1715300,True,exhalation
