participant_id,trial_number,stimulus_type,soa_condition_idx,soa_value_ms,looming_injection_sample,tactile_injection_sample,looming_time_ms,tactile_time_ms,jittered_ms,soa_ms,is_tactile,trial_type
70,53,front,3,1000,1939200,1987200,40400.0,41400.0,40400,41400,True,baseline
70,33,right,3,1000,4632000,4680000,96500.0,97500.0,96500,97500,True,inhalation
70,56,right,1,400,11160000,11179200,232500.0,232900.0,232500,232900,True,baseline
70,41,right,1,400,11544000,11563200,240500.0,240900.0,240500,240900,True,exhalation
70,58,front,3,1000,14246400,14294400,296800.0,297800.0,296800,297800,True,baseline
70,49,front,4,1500,14640000,14712000,305000.0,306500.0,305000,306500,True,exhalation
70,51,right,1,400,15019199,15038400,312899.9791666666,313300.0,312900,313300,True,baseline
70,31,front,1,400,15398400,15417600,320800.0,321200.0,320800,321200,True,inhalation
70,24,left,4,1500,18470400,18542400,384800.0,386300.0,384800,386300,True,inhalation
70,44,right,4,1500,19252800,19324800,401100.0,402600.0,401100,402600,True,exhalation
70,32,right,2,700,20011200,20044800,416900.0,417600.0,416900,417600,True,inhalation
70,28,left,3,1000,24623952,24671952,512999.0,513999.0,512999,513999,True,inhalation
70,63,left,3,1000,25022352,25070352,521299.0,522299.0,521299,522299,True,baseline
70,20,right,0,190,29251200,29260320,609400.0,609590.0,609400,609590,True,inhalation
70,36,front,1,400,30014399,30033600,625299.9791666666,625700.0,625300,625700,True,exhalation
70,61,front,1,400,31924800,31944000,665100.0,665500.0,665100,665500,True,baseline
70,30,left,0,190,33854400,33863520,705300.0,705490.0,705300,705490,True,inhalation
70,68,right,3,1000,35404800,35452800,737600.0,738600.0,737600,738600,False,catch
70,52,front,2,700,35779200,35812800,745400.0,746100.0,745400,746100,True,baseline
70,48,left,3,1000,39235200,39283200,817400.0,818400.0,817400,818400,True,exhalation
70,43,left,3,1000,40785600,40833600,849700.0,850700.0,849700,850700,True,exhalation
70,34,front,4,1500,43099200,43171200,897900.0,899400.0,897900,899400,True,inhalation
70,64,right,4,1500,43478400,43550400,905800.0,907300.0,905800,907300,True,baseline
70,40,left,0,190,45388800,45397920,945600.0,945790.0,945600,945790,True,exhalation
70,22,front,2,700,46156800,46190400,961600.0,962300.0,961600,962300,True,inhalation
70,45,right,0,190,48470400,48479520,1009800.0,1009990.0,1009800,1009990,True,exhalation
70,35,left,0,190,50006352,50015472,1041799.0,1041989.0,1041799,1041989,True,exhalation
70,62,right,2,700,50385600,50419200,1049700.0,1050400.0,1049700,1050400,True,baseline
70,47,right,2,700,51556799,51590400,1074099.9791666665,1074800.0,1074100,1074800,True,exhalation
70,25,right,0,190,52320000,52329120,1090000.0,1090190.0,1090000,1090190,True,inhalation
70,37,front,2,700,53073600,53107200,1105700.0,1106400.0,1105700,1106400,True,exhalation
70,23,right,3,1000,53856000,53904000,1122000.0,1123000.0,1122000,1123000,True,inhalation
70,21,left,1,400,55396799,55416000,1154099.9791666665,1154500.0,1154100,1154500,True,inhalation
70,50,left,0,190,57326400,57335520,1194300.0,1194490.0,1194300,1194490,True,baseline
70,46,front,1,400,57696000,57715200,1202000.0,1202400.0,1202000,1202400,True,exhalation
70,67,right,2,700,58468799,58502400,1218099.9791666665,1218800.0,1218100,1218800,False,catch
70,42,front,2,700,65380799,65414400,1362099.9791666665,1362800.0,1362100,1362800,True,exhalation
70,59,left,4,1500,68856000,68928000,1434500.0,1436000.0,1434500,1436000,True,baseline
70,69,front,4,1500,70017600,70089600,1458700.0,1460200.0,1458700,1460200,False,catch
70,65,left,0,190,70401600,70410720,1466700.0,1466890.0,1466700,1466890,False,catch
70,57,front,2,700,70387200,70420800,1466400.0,1467100.0,1466400,1467100,True,baseline
70,26,front,1,400,70771200,70790400,1474400.0,1474800.0,1474400,1474800,True,inhalation
70,55,left,0,190,71150400,71159520,1482300.0,1482490.0,1482300,1482490,True,baseline
70,54,left,4,1500,73473600,73545600,1530700.0,1532200.0,1530700,1532200,True,baseline
70,66,front,1,400,73852800,73872000,1538600.0,1539000.0,1538600,1539000,False,catch
70,38,left,3,1000,74620800,74668800,1554600.0,1555600.0,1554600,1555600,True,exhalation
70,29,left,4,1500,75403200,75475200,1570900.0,1572400.0,1570900,1572400,True,inhalation
70,60,right,0,190,81921600,81930720,1706700.0,1706890.0,1706700,1706890,True,baseline
70,39,right,4,1500,82320000,82392000,1715000.0,1716500.0,1715000,1716500,True,exhalation
70,27,front,2,700,84628800,84662400,1763100.0,1763800.0,1763100,1763800,True,inhalation
