rel_time_sec,x_px,y_px
581.8187866210938,539.0,566.0
582.9759521484375,675.0,699.0
583.5330810546875,675.0,699.0
584.3128051757812,480.0,436.0
584.5308227539062,480.0,436.0
584.9827270507812,480.0,436.0
584.998046875,480.0,436.0
585.1992797851562,480.0,436.0
585.8010864257812,485.0,433.0
586.033935546875,486.0,434.0
586.056884765625,486.0,434.0
586.2774658203125,486.0,434.0
586.4639892578125,486.0,434.0
586.4666748046875,486.0,434.0
586.6852416992188,486.0,434.0
586.8659057617188,486.0,434.0
587.0756225585938,486.0,434.0
587.0946044921875,486.0,434.0
587.3006591796875,486.0,434.0
587.3082275390625,486.0,434.0
587.4896850585938,486.0,434.0
587.4959106445312,486.0,434.0
587.6969604492188,486.0,434.0
587.7080688476562,486.0,434.0
587.8948364257812,486.0,439.0
587.9059448242188,486.0,439.0
588.086669921875,486.0,441.0
588.302001953125,486.0,441.0
588.3045654296875,486.0,441.0
588.5026245117188,486.0,441.0
588.5092163085938,486.0,441.0
588.7385864257812,486.0,441.0
588.7776489257812,486.0,441.0
588.9764404296875,486.0,445.0
588.9849853515625,486.0,445.0
589.1961669921875,488.0,441.0
589.2155151367188,488.0,441.0
589.4331665039062,488.0,442.0
589.903076171875,489.0,444.0
589.904296875,489.0,444.0
590.1306762695312,489.0,444.0
590.344482421875,489.0,444.0
590.3790283203125,489.0,444.0
590.5927734375,489.0,444.0
590.801513671875,489.0,444.0
590.8096923828125,489.0,444.0
592.7164916992188,335.0,500.0
592.8912353515625,335.0,500.0
593.380859375,403.0,465.0
593.3836059570312,403.0,465.0
593.5852661132812,406.0,461.0
593.7802734375,406.0,461.0
593.988525390625,406.0,461.0
594.1690673828125,406.0,461.0
594.5640869140625,406.0,461.0
594.584228515625,406.0,461.0
594.776123046875,406.0,461.0
594.7896118164062,406.0,461.0
594.987548828125,406.0,461.0
594.9942626953125,406.0,461.0
595.1896362304688,406.0,461.0
595.386962890625,406.0,461.0
595.5842895507812,406.0,461.0
595.7905883789062,406.0,461.0
595.9971313476562,406.0,461.0
596.2037963867188,406.0,461.0
596.4097290039062,406.0,461.0
596.6069946289062,406.0,461.0
596.8123779296875,406.0,461.0
597.3396606445312,409.0,453.0
597.5721435546875,409.0,453.0
597.8058471679688,417.0,443.0
598.0562744140625,417.0,443.0
598.2913818359375,418.0,442.0
598.5565795898438,419.0,441.0
598.7533569335938,419.0,441.0
598.9472045898438,421.0,444.0
599.0526733398438,421.0,444.0
599.2479858398438,421.0,444.0
599.3480834960938,421.0,444.0
599.5171508789062,421.0,444.0
599.5918579101562,421.0,444.0
599.7527465820312,423.0,444.0
599.8308715820312,423.0,444.0
