time,timestamp,x,y,participant_id
114.3246943000122,2025-03-28T23:03:52.124026,612,56,0
122.75348079996184,2025-03-28T23:04:00.552346,613,56,0
130.79144140001154,2025-03-28T23:04:08.590684,611,66,0
138.33227740001166,2025-03-28T23:04:16.130976,611,66,0
145.88210320001235,2025-03-28T23:04:23.681143,611,66,0
154.4704906999832,2025-03-28T23:04:32.268958,611,66,0
162.95921860000817,2025-03-28T23:04:40.757983,654,41,0
171.53371369995875,2025-03-28T23:04:49.332783,643,63,0
178.3876687999582,2025-03-28T23:04:56.186144,643,63,0
186.28293419996044,2025-03-28T23:05:04.081330,640,69,0
194.21835949999513,2025-03-28T23:05:12.016224,636,68,0
201.84431079996284,2025-03-28T23:05:19.642229,594,47,0
296.2032648999593,2025-03-28T23:06:54.002232,761,62,0
1626.9074264999945,2025-03-28T23:29:04.706478,651,7,0
1627.665302600013,2025-03-28T23:29:05.463983,587,7,0
1628.2719277999713,2025-03-28T23:29:06.070796,508,5,0
1629.6581118999748,2025-03-28T23:29:07.457057,345,36,0
1629.8623257,2025-03-28T23:29:07.661609,344,37,0
1630.062148500001,2025-03-28T23:29:07.860795,339,35,0
1630.2367119999835,2025-03-28T23:29:08.035349,273,28,0
1630.4406942999922,2025-03-28T23:29:08.239850,265,28,0
1630.6001787999994,2025-03-28T23:29:08.398919,254,28,0
1630.7740500000073,2025-03-28T23:29:08.572861,254,28,0
1630.9580805999576,2025-03-28T23:29:08.756253,217,22,0
1631.1600341000012,2025-03-28T23:29:08.958672,212,19,0
1631.3753482999746,2025-03-28T23:29:09.174170,189,16,0
1631.5723624000093,2025-03-28T23:29:09.371008,149,21,0
1631.7644539999892,2025-03-28T23:29:09.563053,98,24,0
1631.9529796999996,2025-03-28T23:29:09.751690,84,30,0
1632.134527099959,2025-03-28T23:29:09.933595,158,20,0
1632.330430699978,2025-03-28T23:29:10.129112,351,42,0
1632.5506477999734,2025-03-28T23:29:10.349206,563,36,0
1632.9623424999882,2025-03-28T23:29:10.761180,914,3,0
1633.165395399963,2025-03-28T23:29:10.964061,961,35,0
1633.360209800012,2025-03-28T23:29:11.159509,885,14,0
1633.5522698999848,2025-03-28T23:29:11.350689,713,33,0
1633.740584699961,2025-03-28T23:29:11.539208,596,15,0
1633.9225172000006,2025-03-28T23:29:11.721151,513,11,0
