participant_id,trial_number,stimulus_type,trial_type,soa_condition_idx,soa_value_ms,jitter_ms,timestamp_original,timestamp_after_jitter,timestamp_with_soa,base_ms,jittered_ms,soa_ms,is_tactile,timestamp_sec
93,51,left,baseline,1,400,300,01:44.2,01:44.5,01:44.9,104200,104500,104900,True,104.2
93,36,left,exhalation,1,400,500,01:52.2,01:52.7,01:53.1,112200,112700,113100,True,112.2
93,56,left,baseline,1,400,500,02:0.2,02:0.7,02:1.1,120200,120700,121100,True,120.2
93,21,right,inhalation,1,400,200,02:40.4,02:40.6,02:41.0,160400,160600,161000,True,160.4
93,63,front,baseline,3,1000,400,03:20.4,03:20.8,03:21.8,200400,200800,201800,True,200.4
93,61,right,baseline,1,400,400,03:52.4,03:52.8,03:53.2,232400,232800,233200,True,232.4
93,42,right,exhalation,2,700,300,04:0.4,04:0.7,04:1.4,240400,240700,241400,True,240.4
93,62,right,baseline,2,700,400,05:28.6,05:29.0,05:29.7,328600,329000,329700,True,328.6
93,66,right,catch,1,400,500,05:44.6,05:45.1,05:45.5,344600,345100,345500,False,344.6
93,24,front,inhalation,4,1500,100,06:24.6,06:24.7,06:26.2,384600,384700,386200,True,384.6
93,52,left,baseline,2,700,300,07:36.8,07:37.1,07:37.8,456800,457100,457800,True,456.8
93,27,right,inhalation,2,700,100,08:32.8,08:32.9,08:33.6,512799,512899,513599,True,512.8
93,58,front,baseline,3,1000,400,08:40.8,08:41.2,08:42.2,520799,521199,522199,True,520.8
93,57,left,baseline,2,700,300,08:56.8,08:57.1,08:57.8,536800,537100,537800,True,536.8
93,45,right,exhalation,0,190,100,09:20.8,09:20.9,09:21.1,560800,560900,561090,True,560.8
93,64,right,baseline,4,1500,300,09:45.0,09:45.3,09:46.8,585000,585300,586800,True,585.0
93,23,right,inhalation,3,1000,300,10:9.0,10:9.3,10:10.3,609000,609300,610300,True,609.0
93,59,right,baseline,4,1500,100,10:33.0,10:33.1,10:34.6,633000,633100,634600,True,633.0
93,54,right,baseline,4,1500,200,10:49.0,10:49.2,10:50.7,649000,649200,650700,True,649.0
93,38,left,exhalation,3,1000,100,12:1.2,12:1.3,12:2.3,721200,721300,722300,True,721.2
93,49,front,exhalation,4,1500,500,12:33.2,12:33.7,12:35.2,753200,753700,755200,True,753.2
93,53,front,baseline,3,1000,400,13:13.2,13:13.6,13:14.6,793200,793600,794600,True,793.2
93,65,left,catch,0,190,100,13:37.2,13:37.3,13:37.5,817200,817300,817490,False,817.2
93,35,right,exhalation,0,190,300,13:37.2,13:37.5,13:37.7,817200,817500,817690,True,817.2
93,32,left,inhalation,2,700,400,13:53.2,13:53.6,13:54.3,833200,833600,834300,True,833.2
93,28,front,inhalation,3,1000,500,14:25.4,14:25.9,14:26.9,865400,865900,866900,True,865.4
93,43,front,exhalation,3,1000,400,15:45.4,15:45.8,15:46.8,945400,945800,946800,True,945.4
93,30,right,inhalation,0,190,500,16:1.4,16:1.9,16:2.1,961400,961900,962090,True,961.4
93,44,front,exhalation,4,1500,100,16:17.6,16:17.7,16:19.2,977600,977700,979200,True,977.6
93,31,front,inhalation,1,400,200,16:33.6,16:33.8,16:34.2,993600,993800,994200,True,993.6
93,20,front,inhalation,0,190,200,17:5.6,17:5.8,17:6.0,1025599,1025799,1025989,True,1025.6
93,22,right,inhalation,2,700,100,17:37.6,17:37.7,17:38.4,1057600,1057700,1058400,True,1057.6
93,34,left,inhalation,4,1500,400,18:9.6,18:10.0,18:11.5,1089600,1090000,1091500,True,1089.6
93,29,front,inhalation,4,1500,500,19:13.8,19:14.3,19:15.8,1153800,1154300,1155800,True,1153.8
93,47,left,exhalation,2,700,200,19:29.8,19:30.0,19:30.7,1169800,1170000,1170700,True,1169.8
93,48,front,exhalation,3,1000,300,20:33.8,20:34.1,20:35.1,1233800,1234100,1235100,True,1233.8
93,50,front,baseline,0,190,500,21:30.0,21:30.5,21:30.7,1290000,1290500,1290690,True,1290.0
93,55,left,baseline,0,190,200,21:46.0,21:46.2,21:46.4,1306000,1306200,1306390,True,1306.0
93,46,right,exhalation,1,400,200,22:42.0,22:42.2,22:42.6,1362000,1362200,1362600,True,1362.0
93,60,front,baseline,0,190,400,22:50.0,22:50.4,22:50.6,1370000,1370400,1370590,True,1370.0
93,39,right,exhalation,4,1500,100,23:46.2,23:46.3,23:47.8,1426200,1426300,1427800,True,1426.2
93,67,front,catch,2,700,500,24:2.2,24:2.7,24:3.4,1442200,1442700,1443400,False,1442.2
93,33,left,inhalation,3,1000,100,24:34.2,24:34.3,24:35.3,1474200,1474300,1475300,True,1474.2
93,69,front,catch,4,1500,100,24:42.2,24:42.3,24:43.8,1482200,1482300,1483800,False,1482.2
93,40,left,exhalation,0,190,100,25:22.2,25:22.3,25:22.5,1522200,1522300,1522490,True,1522.2
93,68,front,catch,3,1000,500,25:22.2,25:22.7,25:23.7,1522200,1522700,1523700,False,1522.2
93,37,front,exhalation,2,700,200,25:54.4,25:54.6,25:55.3,1554400,1554600,1555300,True,1554.4
93,41,left,exhalation,1,400,400,27:30.4,27:30.8,27:31.2,1650400,1650800,1651200,True,1650.4
93,26,left,inhalation,1,400,300,28:50.6,28:50.9,28:51.3,1730600,1730900,1731300,True,1730.6
93,25,left,inhalation,0,190,100,29:22.6,29:22.7,29:22.9,1762600,1762700,1762890,True,1762.6
