participant_id,trial_number,stimulus_type,trial_type,soa_condition_idx,soa_value_ms,jitter_ms,timestamp_original,timestamp_after_jitter,timestamp_with_soa,base_ms,jittered_ms,soa_ms,is_tactile,timestamp_sec
91,23,left,inhalation,3,1000,400,00:32.2,00:32.6,00:33.6,32200,32600,33600,True,32.2
91,69,right,catch,4,1500,400,01:12.2,01:12.6,01:14.1,72200,72600,74100,False,72.2
91,64,right,baseline,4,1500,200,01:44.2,01:44.4,01:45.9,104200,104400,105900,True,104.2
91,40,right,exhalation,0,190,200,02:24.4,02:24.6,02:24.8,144400,144600,144790,True,144.4
91,58,left,baseline,3,1000,100,02:32.4,02:32.5,02:33.5,152400,152500,153500,True,152.4
91,24,front,inhalation,4,1500,500,03:12.4,03:12.9,03:14.4,192400,192900,194400,True,192.4
91,34,front,inhalation,4,1500,500,03:44.4,03:44.9,03:46.4,224400,224900,226400,True,224.4
91,65,left,catch,0,190,300,04:32.4,04:32.7,04:32.9,272400,272700,272890,False,272.4
91,38,left,exhalation,3,1000,400,05:4.6,05:5.0,05:6.0,304600,305000,306000,True,304.6
91,32,front,inhalation,2,700,400,05:20.6,05:21.0,05:21.7,320600,321000,321700,True,320.6
91,39,front,exhalation,4,1500,200,06:8.6,06:8.8,06:10.3,368600,368800,370300,True,368.6
91,20,right,inhalation,0,190,500,06:56.8,06:57.3,06:57.5,416800,417300,417490,True,416.8
91,52,front,baseline,2,700,400,07:20.8,07:21.2,07:21.9,440800,441200,441900,True,440.8
91,49,front,exhalation,4,1500,200,07:44.8,07:45.0,07:46.5,464800,465000,466500,True,464.8
91,35,right,exhalation,0,190,200,08:16.8,08:17.0,08:17.2,496800,497000,497190,True,496.8
91,30,left,inhalation,0,190,400,09:4.8,09:5.2,09:5.4,544800,545200,545390,True,544.8
91,36,right,exhalation,1,400,200,09:20.8,09:21.0,09:21.4,560800,561000,561400,True,560.8
91,63,left,baseline,3,1000,400,09:28.8,09:29.2,09:30.2,568800,569200,570200,True,568.8
91,66,right,catch,1,400,500,10:41.0,10:41.5,10:41.9,641000,641500,641900,False,641.0
91,44,right,exhalation,4,1500,500,11:29.2,11:29.7,11:31.2,689200,689700,691200,True,689.2
91,61,right,baseline,1,400,200,12:41.2,12:41.4,12:41.8,761200,761400,761800,True,761.2
91,67,front,catch,2,700,400,13:29.2,13:29.6,13:30.3,809200,809600,810300,False,809.2
91,29,right,inhalation,4,1500,200,13:53.2,13:53.4,13:54.9,833200,833400,834900,True,833.2
91,25,left,inhalation,0,190,300,14:25.4,14:25.7,14:25.9,865400,865700,865890,True,865.4
91,43,left,exhalation,3,1000,400,14:41.4,14:41.8,14:42.8,881400,881800,882800,True,881.4
91,57,front,baseline,2,700,300,15:5.4,15:5.7,15:6.4,905400,905700,906400,True,905.4
91,31,left,inhalation,1,400,400,16:1.4,16:1.8,16:2.2,961400,961800,962200,True,961.4
91,51,left,baseline,1,400,500,16:9.6,16:10.1,16:10.5,969600,970100,970500,True,969.6
91,21,right,inhalation,1,400,100,17:5.6,17:5.7,17:6.1,1025599,1025699,1026099,True,1025.6
91,53,right,baseline,3,1000,400,17:13.6,17:14.0,17:15.0,1033599,1033999,1034999,True,1033.6
91,62,front,baseline,2,700,500,17:45.6,17:46.1,17:46.8,1065600,1066100,1066800,True,1065.6
91,47,front,exhalation,2,700,500,17:53.6,17:54.1,17:54.8,1073600,1074100,1074800,True,1073.6
91,54,right,baseline,4,1500,400,18:1.6,18:2.0,18:3.5,1081600,1082000,1083500,True,1081.6
91,28,right,inhalation,3,1000,400,18:9.6,18:10.0,18:11.0,1089600,1090000,1091000,True,1089.6
91,68,right,catch,3,1000,200,18:17.6,18:17.8,18:18.8,1097600,1097800,1098800,False,1097.6
91,46,left,exhalation,1,400,200,20:33.8,20:34.0,20:34.4,1233800,1234000,1234400,True,1233.8
91,26,front,inhalation,1,400,200,20:50.0,20:50.2,20:50.6,1250000,1250200,1250600,True,1250.0
91,60,left,baseline,0,190,500,20:58.0,20:58.5,20:58.7,1258000,1258500,1258690,True,1258.0
91,41,front,exhalation,1,400,400,21:38.0,21:38.4,21:38.8,1298000,1298400,1298800,True,1298.0
91,33,right,inhalation,3,1000,200,21:54.0,21:54.2,21:55.2,1314000,1314200,1315200,True,1314.0
91,48,left,exhalation,3,1000,100,22:10.0,22:10.1,22:11.1,1330000,1330100,1331100,True,1330.0
91,37,right,exhalation,2,700,400,22:42.0,22:42.4,22:43.1,1362000,1362400,1363100,True,1362.0
91,22,left,inhalation,2,700,400,24:2.2,24:2.6,24:3.3,1442200,1442600,1443300,True,1442.2
91,27,front,inhalation,2,700,100,25:6.2,25:6.3,25:7.0,1506200,1506300,1507000,True,1506.2
91,42,left,exhalation,2,700,400,25:22.2,25:22.6,25:23.3,1522200,1522600,1523300,True,1522.2
91,55,right,baseline,0,190,100,25:46.4,25:46.5,25:46.7,1546400,1546500,1546690,True,1546.4
91,50,front,baseline,0,190,500,26:2.4,26:2.9,26:3.1,1562400,1562900,1563090,True,1562.4
91,56,left,baseline,1,400,400,26:18.4,26:18.8,26:19.2,1578400,1578800,1579200,True,1578.4
91,59,front,baseline,4,1500,300,26:50.4,26:50.7,26:52.2,1610400,1610700,1612200,True,1610.4
91,45,front,exhalation,0,190,500,29:6.6,29:7.1,29:7.3,1746600,1747100,1747290,True,1746.6
