participant_id,trial_number,stimulus_type,trial_type,soa_condition_idx,soa_value_ms,jitter_ms,timestamp_original,timestamp_after_jitter,timestamp_with_soa,base_ms,jittered_ms,soa_ms,is_tactile,timestamp_sec
47,54,left,baseline,4,1500,200,00:40.2,00:40.4,00:41.9,40200,40400,41900,True,40.2
47,35,right,exhalation,0,190,300,01:20.2,01:20.5,01:20.7,80200,80500,80690,True,80.2
47,67,front,catch,2,700,200,02:48.4,02:48.6,02:49.3,168400,168600,169300,False,168.4
47,46,left,exhalation,1,400,200,04:0.4,04:0.6,04:1.0,240400,240600,241000,True,240.4
47,57,front,baseline,2,700,400,04:24.4,04:24.8,04:25.5,264400,264800,265500,True,264.4
47,29,left,inhalation,4,1500,400,04:48.4,04:48.8,04:50.3,288400,288800,290300,True,288.4
47,49,left,exhalation,4,1500,200,06:8.6,06:8.8,06:10.3,368600,368800,370300,True,368.6
47,43,front,exhalation,3,1000,200,07:44.8,07:45.0,07:46.0,464800,465000,466000,True,464.8
47,60,front,baseline,0,190,200,07:52.8,07:53.0,07:53.2,472800,473000,473190,True,472.8
47,62,left,baseline,2,700,300,08:40.8,08:41.1,08:41.8,520799,521099,521799,True,520.8
47,21,right,inhalation,1,400,200,09:4.8,09:5.0,09:5.4,544800,545000,545400,True,544.8
47,52,right,baseline,2,700,200,09:12.8,09:13.0,09:13.7,552800,553000,553700,True,552.8
47,34,front,inhalation,4,1500,500,10:9.0,10:9.5,10:11.0,609000,609500,611000,True,609.0
47,55,left,baseline,0,190,300,10:17.0,10:17.3,10:17.5,617000,617300,617490,True,617.0
47,26,right,inhalation,1,400,400,10:41.0,10:41.4,10:41.8,641000,641400,641800,True,641.0
47,64,left,baseline,4,1500,100,10:49.0,10:49.1,10:50.6,649000,649100,650600,True,649.0
47,65,left,catch,0,190,100,11:29.2,11:29.3,11:29.5,689200,689300,689490,False,689.2
47,56,front,baseline,1,400,400,11:37.2,11:37.6,11:38.0,697200,697600,698000,True,697.2
47,33,left,inhalation,3,1000,500,11:45.2,11:45.7,11:46.7,705200,705700,706700,True,705.2
47,38,right,exhalation,3,1000,200,12:1.2,12:1.4,12:2.4,721200,721400,722400,True,721.2
47,40,left,exhalation,0,190,200,12:33.2,12:33.4,12:33.6,753200,753400,753590,True,753.2
47,25,right,inhalation,0,190,400,12:49.2,12:49.6,12:49.8,769200,769600,769790,True,769.2
47,47,front,exhalation,2,700,500,14:9.2,14:9.7,14:10.4,849200,849700,850400,True,849.2
47,22,front,inhalation,2,700,300,14:57.4,14:57.7,14:58.4,897400,897700,898400,True,897.4
47,30,left,inhalation,0,190,400,15:29.4,15:29.8,15:30.0,929400,929800,929990,True,929.4
47,63,front,baseline,3,1000,500,15:53.4,15:53.9,15:54.9,953400,953900,954900,True,953.4
47,66,front,catch,1,400,300,16:33.6,16:33.9,16:34.3,993600,993900,994300,False,993.6
47,45,right,exhalation,0,190,200,17:21.6,17:21.8,17:22.0,1041599,1041799,1041989,True,1041.6
47,51,front,baseline,1,400,200,17:45.6,17:45.8,17:46.2,1065600,1065800,1066200,True,1065.6
47,53,left,baseline,3,1000,400,18:1.6,18:2.0,18:3.0,1081600,1082000,1083000,True,1081.6
47,69,front,catch,4,1500,100,18:9.6,18:9.7,18:11.2,1089600,1089700,1091200,False,1089.6
47,41,left,exhalation,1,400,200,18:25.6,18:25.8,18:26.2,1105600,1105800,1106200,True,1105.6
47,31,right,inhalation,1,400,400,18:41.6,18:42.0,18:42.4,1121600,1122000,1122400,True,1121.6
47,50,right,baseline,0,190,500,19:21.8,19:22.3,19:22.5,1161800,1162300,1162490,True,1161.8
47,23,left,inhalation,3,1000,100,19:45.8,19:45.9,19:46.9,1185800,1185900,1186900,True,1185.8
47,24,right,inhalation,4,1500,100,20:17.8,20:17.9,20:19.4,1217800,1217900,1219400,True,1217.8
47,36,front,exhalation,1,400,200,20:33.8,20:34.0,20:34.4,1233800,1234000,1234400,True,1233.8
47,32,front,inhalation,2,700,400,21:54.0,21:54.4,21:55.1,1314000,1314400,1315100,True,1314.0
47,39,front,exhalation,4,1500,300,22:10.0,22:10.3,22:11.8,1330000,1330300,1331800,True,1330.0
47,59,right,baseline,4,1500,300,23:6.0,23:6.3,23:7.8,1386000,1386300,1387800,True,1386.0
47,28,front,inhalation,3,1000,400,24:2.2,24:2.6,24:3.6,1442200,1442600,1443600,True,1442.2
47,48,front,exhalation,3,1000,100,24:18.2,24:18.3,24:19.3,1458200,1458300,1459300,True,1458.2
47,58,right,baseline,3,1000,500,25:14.2,25:14.7,25:15.7,1514200,1514700,1515700,True,1514.2
47,20,front,inhalation,0,190,400,26:10.4,26:10.8,26:11.0,1570400,1570800,1570990,True,1570.4
47,44,right,exhalation,4,1500,100,26:26.4,26:26.5,26:28.0,1586400,1586500,1588000,True,1586.4
47,42,left,exhalation,2,700,200,26:58.4,26:58.6,26:59.3,1618400,1618600,1619300,True,1618.4
47,37,right,exhalation,2,700,300,27:30.4,27:30.7,27:31.4,1650400,1650700,1651400,True,1650.4
47,61,right,baseline,1,400,500,27:54.4,27:54.9,27:55.3,1674400,1674900,1675300,True,1674.4
47,27,left,inhalation,2,700,100,28:50.6,28:50.7,28:51.4,1730600,1730700,1731400,True,1730.6
47,68,right,catch,3,1000,400,29:38.6,29:39.0,29:40.0,1778600,1779000,1780000,False,1778.6
