participant_id,trial_number,stimulus_type,trial_type,soa_condition_idx,soa_value_ms,jitter_ms,timestamp_original,timestamp_after_jitter,timestamp_with_soa,base_ms,jittered_ms,soa_ms,is_tactile,timestamp_sec
44,58,left,baseline,3,1000,400,00:40.2,00:40.6,00:41.6,40200,40600,41600,True,40.2
44,23,right,inhalation,3,1000,400,01:4.2,01:4.6,01:5.6,64200,64600,65600,True,64.2
44,48,right,exhalation,3,1000,400,01:52.2,01:52.6,01:53.6,112200,112600,113600,True,112.2
44,64,right,baseline,4,1500,300,02:16.4,02:16.7,02:18.2,136400,136700,138200,True,136.4
44,26,front,inhalation,1,400,200,02:40.4,02:40.6,02:41.0,160400,160600,161000,True,160.4
44,42,front,exhalation,2,700,200,03:28.4,03:28.6,03:29.3,208400,208600,209300,True,208.4
44,22,front,inhalation,2,700,100,04:16.4,04:16.5,04:17.2,256399,256499,257199,True,256.4
44,20,front,inhalation,0,190,100,06:24.6,06:24.7,06:24.9,384600,384700,384890,True,384.6
44,46,front,exhalation,1,400,400,07:44.8,07:45.2,07:45.6,464800,465200,465600,True,464.8
44,21,left,inhalation,1,400,100,08:0.8,08:0.9,08:1.3,480800,480900,481300,True,480.8
44,65,left,catch,0,190,200,09:28.8,09:29.0,09:29.2,568800,569000,569190,False,568.8
44,28,left,inhalation,3,1000,500,09:36.8,09:37.3,09:38.3,576800,577300,578300,True,576.8
44,24,right,inhalation,4,1500,400,10:41.0,10:41.4,10:42.9,641000,641400,642900,True,641.0
44,56,front,baseline,1,400,200,10:49.0,10:49.2,10:49.6,649000,649200,649600,True,649.0
44,39,right,exhalation,4,1500,100,10:57.0,10:57.1,10:58.6,657000,657100,658600,True,657.0
44,60,left,baseline,0,190,300,11:5.0,11:5.3,11:5.5,665000,665300,665490,True,665.0
44,52,right,baseline,2,700,400,11:21.0,11:21.4,11:22.1,681000,681400,682100,True,681.0
44,33,front,inhalation,3,1000,400,13:53.2,13:53.6,13:54.6,833200,833600,834600,True,833.2
44,40,left,exhalation,0,190,400,14:9.2,14:9.6,14:9.8,849200,849600,849790,True,849.2
44,62,left,baseline,2,700,100,15:21.4,15:21.5,15:22.2,921400,921500,922200,True,921.4
44,30,front,inhalation,0,190,100,15:29.4,15:29.5,15:29.7,929400,929500,929690,True,929.4
44,50,front,baseline,0,190,100,16:41.6,16:41.7,16:41.9,1001600,1001700,1001890,True,1001.6
44,47,left,exhalation,2,700,300,16:49.6,16:49.9,16:50.6,1009600,1009900,1010600,True,1009.6
44,68,right,catch,3,1000,400,17:5.6,17:6.0,17:7.0,1025599,1025999,1026999,False,1025.6
44,34,left,inhalation,4,1500,100,17:5.6,17:5.7,17:7.2,1025599,1025699,1027199,True,1025.6
44,36,right,exhalation,1,400,300,17:21.6,17:21.9,17:22.3,1041599,1041899,1042299,True,1041.6
44,43,front,exhalation,3,1000,200,18:25.6,18:25.8,18:26.8,1105600,1105800,1106800,True,1105.6
44,32,right,inhalation,2,700,300,19:13.8,19:14.1,19:14.8,1153800,1154100,1154800,True,1153.8
44,53,front,baseline,3,1000,200,19:37.8,19:38.0,19:39.0,1177800,1178000,1179000,True,1177.8
44,69,front,catch,4,1500,200,20:1.8,20:2.0,20:3.5,1201800,1202000,1203500,False,1201.8
44,38,left,exhalation,3,1000,200,20:1.8,20:2.0,20:3.0,1201800,1202000,1203000,True,1201.8
44,44,left,exhalation,4,1500,200,20:33.8,20:34.0,20:35.5,1233800,1234000,1235500,True,1233.8
44,37,right,exhalation,2,700,100,21:38.0,21:38.1,21:38.8,1298000,1298100,1298800,True,1298.0
44,61,left,baseline,1,400,300,21:46.0,21:46.3,21:46.7,1306000,1306300,1306700,True,1306.0
44,63,right,baseline,3,1000,200,22:34.0,22:34.2,22:35.2,1354000,1354200,1355200,True,1354.0
44,67,front,catch,2,700,500,22:42.0,22:42.5,22:43.2,1362000,1362500,1363200,False,1362.0
44,49,left,exhalation,4,1500,200,22:42.0,22:42.2,22:43.7,1362000,1362200,1363700,True,1362.0
44,25,left,inhalation,0,190,300,22:58.0,22:58.3,22:58.5,1378000,1378300,1378490,True,1378.0
44,59,left,baseline,4,1500,100,23:6.0,23:6.1,23:7.6,1386000,1386100,1387600,True,1386.0
44,35,front,exhalation,0,190,400,23:14.0,23:14.4,23:14.6,1394000,1394400,1394590,True,1394.0
44,27,right,inhalation,2,700,400,23:30.0,23:30.4,23:31.1,1410000,1410400,1411100,True,1410.0
44,31,right,inhalation,1,400,200,24:2.2,24:2.4,24:2.8,1442200,1442400,1442800,True,1442.2
44,57,right,baseline,2,700,400,24:26.2,24:26.6,24:27.3,1466200,1466600,1467300,True,1466.2
44,41,front,exhalation,1,400,300,26:26.4,26:26.7,26:27.1,1586400,1586700,1587100,True,1586.4
44,29,left,inhalation,4,1500,400,26:42.4,26:42.8,26:44.3,1602400,1602800,1604300,True,1602.4
44,55,front,baseline,0,190,300,26:50.4,26:50.7,26:50.9,1610400,1610700,1610890,True,1610.4
44,66,front,catch,1,400,300,27:46.4,27:46.7,27:47.1,1666400,1666700,1667100,False,1666.4
44,54,front,baseline,4,1500,300,28:10.4,28:10.7,28:12.2,1690400,1690700,1692200,True,1690.4
44,45,right,exhalation,0,190,100,28:34.6,28:34.7,28:34.9,1714600,1714700,1714890,True,1714.6
44,51,right,baseline,1,400,200,29:14.6,29:14.8,29:15.2,1754600,1754800,1755200,True,1754.6
