participant_id,trial_number,stimulus_type,trial_type,soa_condition_idx,soa_value_ms,jitter_ms,timestamp_original,timestamp_after_jitter,timestamp_with_soa,base_ms,jittered_ms,soa_ms,is_tactile,timestamp_sec
69,42,left,exhalation,2,700,200,01:20.2,01:20.4,01:21.1,80200,80400,81100,True,80.2
69,55,left,baseline,0,190,400,01:28.2,01:28.6,01:28.8,88200,88600,88790,True,88.2
69,27,front,inhalation,2,700,300,02:40.4,02:40.7,02:41.4,160400,160700,161400,True,160.4
69,61,right,baseline,1,400,200,02:48.4,02:48.6,02:49.0,168400,168600,169000,True,168.4
69,50,right,baseline,0,190,500,04:40.4,04:40.9,04:41.1,280400,280900,281090,True,280.4
69,67,left,catch,2,700,500,04:48.4,04:48.9,04:49.6,288400,288900,289600,False,288.4
69,21,right,inhalation,1,400,500,05:20.6,05:21.1,05:21.5,320600,321100,321500,True,320.6
69,63,right,baseline,3,1000,400,05:28.6,05:29.0,05:30.0,328600,329000,330000,True,328.6
69,66,left,catch,1,400,100,05:36.6,05:36.7,05:37.1,336600,336700,337100,False,336.6
69,40,left,exhalation,0,190,300,05:36.6,05:36.9,05:37.1,336600,336900,337090,True,336.6
69,59,right,baseline,4,1500,200,06:0.6,06:0.8,06:2.3,360600,360800,362300,True,360.6
69,31,front,inhalation,1,400,100,06:24.6,06:24.7,06:25.1,384600,384700,385100,True,384.6
69,25,right,inhalation,0,190,300,06:56.8,06:57.1,06:57.3,416800,417100,417290,True,416.8
69,30,front,inhalation,0,190,500,08:0.8,08:1.3,08:1.5,480800,481300,481490,True,480.8
69,53,front,baseline,3,1000,500,08:24.8,08:25.3,08:26.3,504800,505300,506300,True,504.8
69,22,front,inhalation,2,700,300,09:4.8,09:5.1,09:5.8,544800,545100,545800,True,544.8
69,65,left,catch,0,190,500,09:20.8,09:21.3,09:21.5,560800,561300,561490,False,560.8
69,60,left,baseline,0,190,300,10:17.0,10:17.3,10:17.5,617000,617300,617490,True,617.0
69,64,front,baseline,4,1500,100,12:25.2,12:25.3,12:26.8,745200,745300,746800,True,745.2
69,51,left,baseline,1,400,500,12:41.2,12:41.7,12:42.1,761200,761700,762100,True,761.2
69,38,front,exhalation,3,1000,500,13:5.2,13:5.7,13:6.7,785200,785700,786700,True,785.2
69,52,front,baseline,2,700,400,13:13.2,13:13.6,13:14.3,793200,793600,794300,True,793.2
69,24,left,inhalation,4,1500,300,13:21.2,13:21.5,13:23.0,801200,801500,803000,True,801.2
69,56,front,baseline,1,400,300,15:5.4,15:5.7,15:6.1,905400,905700,906100,True,905.4
69,46,right,exhalation,1,400,200,15:13.4,15:13.6,15:14.0,913400,913600,914000,True,913.4
69,49,front,exhalation,4,1500,500,15:45.4,15:45.9,15:47.4,945400,945900,947400,True,945.4
69,26,right,inhalation,1,400,200,16:1.4,16:1.6,16:2.0,961400,961600,962000,True,961.4
69,35,front,exhalation,0,190,400,17:21.6,17:22.0,17:22.2,1041599,1041999,1042189,True,1041.6
69,57,right,baseline,2,700,500,18:1.6,18:2.1,18:2.8,1081600,1082100,1082800,True,1081.6
69,33,right,inhalation,3,1000,200,18:9.6,18:9.8,18:10.8,1089600,1089800,1090800,True,1089.6
69,43,right,exhalation,3,1000,400,18:25.6,18:26.0,18:27.0,1105600,1106000,1107000,True,1105.6
69,48,right,exhalation,3,1000,500,18:57.6,18:58.1,18:59.1,1137600,1138100,1139100,True,1137.6
69,28,front,inhalation,3,1000,200,19:13.8,19:14.0,19:15.0,1153800,1154000,1155000,True,1153.8
69,44,left,exhalation,4,1500,500,19:29.8,19:30.3,19:31.8,1169800,1170300,1171800,True,1169.8
69,20,right,inhalation,0,190,100,19:45.8,19:45.9,19:46.1,1185800,1185900,1186090,True,1185.8
69,41,left,exhalation,1,400,300,20:33.8,20:34.1,20:34.5,1233800,1234100,1234500,True,1233.8
69,58,front,baseline,3,1000,200,23:38.0,23:38.2,23:39.2,1418000,1418200,1419200,True,1418.0
69,29,left,inhalation,4,1500,400,24:2.2,24:2.6,24:4.1,1442200,1442600,1444100,True,1442.2
69,69,front,catch,4,1500,300,24:18.2,24:18.5,24:20.0,1458200,1458500,1460000,False,1458.2
69,54,left,baseline,4,1500,200,24:26.2,24:26.4,24:27.9,1466200,1466400,1467900,True,1466.2
69,32,left,inhalation,2,700,300,24:34.2,24:34.5,24:35.2,1474200,1474500,1475200,True,1474.2
69,62,left,baseline,2,700,400,25:46.4,25:46.8,25:47.5,1546400,1546800,1547500,True,1546.4
69,39,front,exhalation,4,1500,400,25:54.4,25:54.8,25:56.3,1554400,1554800,1556300,True,1554.4
69,45,left,exhalation,0,190,300,26:58.4,26:58.7,26:58.9,1618400,1618700,1618890,True,1618.4
69,68,right,catch,3,1000,100,27:6.4,27:6.5,27:7.5,1626400,1626500,1627500,False,1626.4
69,37,front,exhalation,2,700,400,28:2.4,28:2.8,28:3.5,1682400,1682800,1683500,True,1682.4
69,34,left,inhalation,4,1500,500,28:18.4,28:18.9,28:20.4,1698400,1698900,1700400,True,1698.4
69,47,right,exhalation,2,700,500,28:34.6,28:35.1,28:35.8,1714600,1715100,1715800,True,1714.6
69,36,right,exhalation,1,400,100,29:6.6,29:6.7,29:7.1,1746600,1746700,1747100,True,1746.6
69,23,left,inhalation,3,1000,200,29:22.6,29:22.8,29:23.8,1762600,1762800,1763800,True,1762.6
