participant_id,trial_number,stimulus_type,trial_type,soa_condition_idx,soa_value_ms,jitter_ms,timestamp_original,timestamp_after_jitter,timestamp_with_soa,base_ms,jittered_ms,soa_ms,is_tactile,timestamp_sec
11,22,left,inhalation,2,700,300,00:32.2,00:32.5,00:33.2,32200,32500,33200,True,32.2
11,49,right,exhalation,4,1500,300,00:48.2,00:48.5,00:50.0,48200,48500,50000,True,48.2
11,28,left,inhalation,3,1000,100,01:4.2,01:4.3,01:5.3,64200,64300,65300,True,64.2
11,48,left,exhalation,3,1000,500,01:20.2,01:20.7,01:21.7,80200,80700,81700,True,80.2
11,38,right,exhalation,3,1000,200,02:24.4,02:24.6,02:25.6,144400,144600,145600,True,144.4
11,56,left,baseline,1,400,500,02:32.4,02:32.9,02:33.3,152400,152900,153300,True,152.4
11,41,right,exhalation,1,400,400,02:56.4,02:56.8,02:57.2,176400,176800,177200,True,176.4
11,29,left,inhalation,4,1500,400,03:12.4,03:12.8,03:14.3,192400,192800,194300,True,192.4
11,65,left,catch,0,190,100,03:20.4,03:20.5,03:20.7,200400,200500,200690,False,200.4
11,69,right,catch,4,1500,300,04:0.4,04:0.7,04:2.2,240400,240700,242200,False,240.4
11,36,left,exhalation,1,400,500,04:32.4,04:32.9,04:33.3,272400,272900,273300,True,272.4
11,46,front,exhalation,1,400,200,05:4.6,05:4.8,05:5.2,304600,304800,305200,True,304.6
11,61,right,baseline,1,400,500,05:44.6,05:45.1,05:45.5,344600,345100,345500,True,344.6
11,43,front,exhalation,3,1000,200,06:40.6,06:40.8,06:41.8,400600,400800,401800,True,400.6
11,54,right,baseline,4,1500,300,07:20.8,07:21.1,07:22.6,440800,441100,442600,True,440.8
11,33,right,inhalation,3,1000,300,07:28.8,07:29.1,07:30.1,448800,449100,450100,True,448.8
11,66,front,catch,1,400,200,08:24.8,08:25.0,08:25.4,504800,505000,505400,False,504.8
11,68,front,catch,3,1000,100,08:40.8,08:40.9,08:41.9,520799,520899,521899,False,520.8
11,30,right,inhalation,0,190,200,09:36.8,09:37.0,09:37.2,576800,577000,577190,True,576.8
11,60,right,baseline,0,190,500,09:45.0,09:45.5,09:45.7,585000,585500,585690,True,585.0
11,45,front,exhalation,0,190,100,09:53.0,09:53.1,09:53.3,593000,593100,593290,True,593.0
11,20,front,inhalation,0,190,400,11:13.0,11:13.4,11:13.6,673000,673400,673590,True,673.0
11,57,left,baseline,2,700,300,11:21.0,11:21.3,11:22.0,681000,681300,682000,True,681.0
11,47,left,exhalation,2,700,100,11:29.2,11:29.3,11:30.0,689200,689300,690000,True,689.2
11,55,front,baseline,0,190,500,12:25.2,12:25.7,12:25.9,745200,745700,745890,True,745.2
11,23,front,inhalation,3,1000,300,12:49.2,12:49.5,12:50.5,769200,769500,770500,True,769.2
11,25,right,inhalation,0,190,300,13:21.2,13:21.5,13:21.7,801200,801500,801690,True,801.2
11,53,front,baseline,3,1000,500,13:29.2,13:29.7,13:30.7,809200,809700,810700,True,809.2
11,62,left,baseline,2,700,100,13:45.2,13:45.3,13:46.0,825200,825300,826000,True,825.2
11,63,left,baseline,3,1000,200,15:37.4,15:37.6,15:38.6,937400,937600,938600,True,937.4
11,31,front,inhalation,1,400,400,17:5.6,17:6.0,17:6.4,1025599,1025999,1026399,True,1025.6
11,59,right,baseline,4,1500,400,17:13.6,17:14.0,17:15.5,1033599,1033999,1035499,True,1033.6
11,26,left,inhalation,1,400,500,17:37.6,17:38.1,17:38.5,1057600,1058100,1058500,True,1057.6
11,39,left,exhalation,4,1500,400,18:25.6,18:26.0,18:27.5,1105600,1106000,1107500,True,1105.6
11,32,right,inhalation,2,700,300,19:45.8,19:46.1,19:46.8,1185800,1186100,1186800,True,1185.8
11,58,left,baseline,3,1000,100,19:53.8,19:53.9,19:54.9,1193800,1193900,1194900,True,1193.8
11,42,front,exhalation,2,700,300,20:33.8,20:34.1,20:34.8,1233800,1234100,1234800,True,1233.8
11,34,left,inhalation,4,1500,500,21:54.0,21:54.5,21:56.0,1314000,1314500,1316000,True,1314.0
11,52,right,baseline,2,700,300,22:2.0,22:2.3,22:3.0,1322000,1322300,1323000,True,1322.0
11,35,right,exhalation,0,190,400,22:42.0,22:42.4,22:42.6,1362000,1362400,1362590,True,1362.0
11,50,front,baseline,0,190,400,23:22.0,23:22.4,23:22.6,1402000,1402400,1402590,True,1402.0
11,51,front,baseline,1,400,400,24:58.2,24:58.6,24:59.0,1498200,1498600,1499000,True,1498.2
11,24,front,inhalation,4,1500,400,27:14.4,27:14.8,27:16.3,1634400,1634800,1636300,True,1634.4
11,67,right,catch,2,700,400,27:46.4,27:46.8,27:47.5,1666400,1666800,1667500,False,1666.4
11,37,front,exhalation,2,700,400,28:2.4,28:2.8,28:3.5,1682400,1682800,1683500,True,1682.4
11,21,front,inhalation,1,400,100,28:18.4,28:18.5,28:18.9,1698400,1698500,1698900,True,1698.4
11,44,left,exhalation,4,1500,400,29:6.6,29:7.0,29:8.5,1746600,1747000,1748500,True,1746.6
11,27,right,inhalation,2,700,400,29:22.6,29:23.0,29:23.7,1762600,1763000,1763700,True,1762.6
11,64,front,baseline,4,1500,100,29:30.6,29:30.7,29:32.2,1770600,1770700,1772200,True,1770.6
11,40,right,exhalation,0,190,100,29:38.6,29:38.7,29:38.9,1778600,1778700,1778890,True,1778.6
