participant_id,trial_number,stimulus_type,trial_type,soa_condition_idx,soa_value_ms,jitter_ms,timestamp_original,timestamp_after_jitter,timestamp_with_soa,base_ms,jittered_ms,soa_ms,is_tactile,timestamp_sec
27,42,right,exhalation,2,700,100,01:52.2,01:52.3,01:53.0,112200,112300,113000,True,112.2
27,49,left,exhalation,4,1500,200,02:24.4,02:24.6,02:26.1,144400,144600,146100,True,144.4
27,69,front,catch,4,1500,500,02:40.4,02:40.9,02:42.4,160400,160900,162400,False,160.4
27,30,right,inhalation,0,190,300,02:40.4,02:40.7,02:40.9,160400,160700,160890,True,160.4
27,40,front,exhalation,0,190,200,02:56.4,02:56.6,02:56.8,176400,176600,176790,True,176.4
27,64,right,baseline,4,1500,500,03:4.4,03:4.9,03:6.4,184400,184900,186400,True,184.4
27,24,front,inhalation,4,1500,500,03:12.4,03:12.9,03:14.4,192400,192900,194400,True,192.4
27,68,front,catch,3,1000,300,04:24.4,04:24.7,04:25.7,264400,264700,265700,False,264.4
27,36,front,exhalation,1,400,300,04:32.4,04:32.7,04:33.1,272400,272700,273100,True,272.4
27,28,front,inhalation,3,1000,200,04:48.4,04:48.6,04:49.6,288400,288600,289600,True,288.4
27,23,right,inhalation,3,1000,500,06:24.6,06:25.1,06:26.1,384600,385100,386100,True,384.6
27,29,left,inhalation,4,1500,200,07:28.8,07:29.0,07:30.5,448800,449000,450500,True,448.8
27,52,left,baseline,2,700,400,07:36.8,07:37.2,07:37.9,456800,457200,457900,True,456.8
27,43,left,exhalation,3,1000,300,08:16.8,08:17.1,08:18.1,496800,497100,498100,True,496.8
27,46,right,exhalation,1,400,300,08:48.8,08:49.1,08:49.5,528800,529100,529500,True,528.8
27,39,right,exhalation,4,1500,500,09:20.8,09:21.3,09:22.8,560800,561300,562800,True,560.8
27,62,front,baseline,2,700,300,09:28.8,09:29.1,09:29.8,568800,569100,569800,True,568.8
27,60,front,baseline,0,190,300,11:53.2,11:53.5,11:53.7,713200,713500,713690,True,713.2
27,35,front,exhalation,0,190,400,12:33.2,12:33.6,12:33.8,753200,753600,753790,True,753.2
27,32,right,inhalation,2,700,500,12:49.2,12:49.7,12:50.4,769200,769700,770400,True,769.2
27,53,left,baseline,3,1000,400,13:45.2,13:45.6,13:46.6,825200,825600,826600,True,825.2
27,34,front,inhalation,4,1500,500,13:53.2,13:53.7,13:55.2,833200,833700,835200,True,833.2
27,45,left,exhalation,0,190,200,14:9.2,14:9.4,14:9.6,849200,849400,849590,True,849.2
27,56,right,baseline,1,400,400,14:17.2,14:17.6,14:18.0,857200,857600,858000,True,857.2
27,33,right,inhalation,3,1000,500,14:57.4,14:57.9,14:58.9,897400,897900,898900,True,897.4
27,21,front,inhalation,1,400,500,15:29.4,15:29.9,15:30.3,929400,929900,930300,True,929.4
27,48,right,exhalation,3,1000,100,17:21.6,17:21.7,17:22.7,1041599,1041699,1042699,True,1041.6
27,26,left,inhalation,1,400,100,17:37.6,17:37.7,17:38.1,1057600,1057700,1058100,True,1057.6
27,54,front,baseline,4,1500,400,17:45.6,17:46.0,17:47.5,1065600,1066000,1067500,True,1065.6
27,65,left,catch,0,190,100,18:25.6,18:25.7,18:25.9,1105600,1105700,1105890,False,1105.6
27,61,left,baseline,1,400,300,20:9.8,20:10.1,20:10.5,1209800,1210100,1210500,True,1209.8
27,55,right,baseline,0,190,500,20:25.8,20:26.3,20:26.5,1225800,1226300,1226490,True,1225.8
27,41,front,exhalation,1,400,500,20:33.8,20:34.3,20:34.7,1233800,1234300,1234700,True,1233.8
27,44,left,exhalation,4,1500,400,21:6.0,21:6.4,21:7.9,1266000,1266400,1267900,True,1266.0
27,58,front,baseline,3,1000,100,21:30.0,21:30.1,21:31.1,1290000,1290100,1291100,True,1290.0
27,37,right,exhalation,2,700,200,21:38.0,21:38.2,21:38.9,1298000,1298200,1298900,True,1298.0
27,22,left,inhalation,2,700,500,21:54.0,21:54.5,21:55.2,1314000,1314500,1315200,True,1314.0
27,57,left,baseline,2,700,100,22:2.0,22:2.1,22:2.8,1322000,1322100,1322800,True,1322.0
27,25,right,inhalation,0,190,400,22:26.0,22:26.4,22:26.6,1346000,1346400,1346590,True,1346.0
27,51,right,baseline,1,400,100,22:50.0,22:50.1,22:50.5,1370000,1370100,1370500,True,1370.0
27,31,left,inhalation,1,400,500,22:58.0,22:58.5,22:58.9,1378000,1378500,1378900,True,1378.0
27,50,front,baseline,0,190,200,23:54.2,23:54.4,23:54.6,1434200,1434400,1434590,True,1434.2
27,20,front,inhalation,0,190,200,24:2.2,24:2.4,24:2.6,1442200,1442400,1442590,True,1442.2
27,59,left,baseline,4,1500,400,24:26.2,24:26.6,24:28.1,1466200,1466600,1468100,True,1466.2
27,63,right,baseline,3,1000,200,24:42.2,24:42.4,24:43.4,1482200,1482400,1483400,True,1482.2
27,66,left,catch,1,400,100,24:42.2,24:42.3,24:42.7,1482200,1482300,1482700,False,1482.2
27,47,front,exhalation,2,700,400,24:50.2,24:50.6,24:51.3,1490200,1490600,1491300,True,1490.2
27,67,right,catch,2,700,200,25:54.4,25:54.6,25:55.3,1554400,1554600,1555300,False,1554.4
27,27,left,inhalation,2,700,500,27:46.4,27:46.9,27:47.6,1666400,1666900,1667600,True,1666.4
27,38,left,exhalation,3,1000,300,29:38.6,29:38.9,29:39.9,1778600,1778900,1779900,True,1778.6
