participant_id,trial_number,stimulus_type,trial_type,soa_condition_idx,soa_value_ms,jitter_ms,timestamp_original,timestamp_after_jitter,timestamp_with_soa,base_ms,jittered_ms,soa_ms,is_tactile,timestamp_sec
54,64,right,baseline,4,1500,300,01:12.2,01:12.5,01:14.0,72200,72500,74000,True,72.2
54,56,right,baseline,1,400,100,01:28.2,01:28.3,01:28.7,88200,88300,88700,True,88.2
54,54,left,baseline,4,1500,100,02:0.2,02:0.3,02:1.8,120200,120300,121800,True,120.2
54,34,front,inhalation,4,1500,500,02:40.4,02:40.9,02:42.4,160400,160900,162400,True,160.4
54,69,left,catch,4,1500,400,02:48.4,02:48.8,02:50.3,168400,168800,170300,False,168.4
54,41,front,exhalation,1,400,500,02:56.4,02:56.9,02:57.3,176400,176900,177300,True,176.4
54,35,left,exhalation,0,190,200,04:0.4,04:0.6,04:0.8,240400,240600,240790,True,240.4
54,29,left,inhalation,4,1500,100,04:16.4,04:16.5,04:18.0,256399,256499,257999,True,256.4
54,25,right,inhalation,0,190,100,04:48.4,04:48.5,04:48.7,288400,288500,288690,True,288.4
54,43,front,exhalation,3,1000,400,05:4.6,05:5.0,05:6.0,304600,305000,306000,True,304.6
54,39,right,exhalation,4,1500,500,05:36.6,05:37.1,05:38.6,336600,337100,338600,True,336.6
54,22,left,inhalation,2,700,500,06:56.8,06:57.3,06:58.0,416800,417300,418000,True,416.8
54,23,right,inhalation,3,1000,200,08:0.8,08:1.0,08:2.0,480800,481000,482000,True,480.8
54,46,front,exhalation,1,400,100,08:16.8,08:16.9,08:17.3,496800,496900,497300,True,496.8
54,65,right,catch,0,190,200,08:40.8,08:41.0,08:41.2,520799,520999,521189,False,520.8
54,66,front,catch,1,400,500,10:1.0,10:1.5,10:1.9,601000,601500,601900,False,601.0
54,26,right,inhalation,1,400,200,10:9.0,10:9.2,10:9.6,609000,609200,609600,True,609.0
54,61,left,baseline,1,400,300,10:33.0,10:33.3,10:33.7,633000,633300,633700,True,633.0
54,55,left,baseline,0,190,200,11:5.0,11:5.2,11:5.4,665000,665200,665390,True,665.0
54,32,right,inhalation,2,700,100,11:13.0,11:13.1,11:13.8,673000,673100,673800,True,673.0
54,48,left,exhalation,3,1000,500,11:29.2,11:29.7,11:30.7,689200,689700,690700,True,689.2
54,38,left,exhalation,3,1000,200,12:1.2,12:1.4,12:2.4,721200,721400,722400,True,721.2
54,24,right,inhalation,4,1500,200,13:21.2,13:21.4,13:22.9,801200,801400,802900,True,801.2
54,67,right,catch,2,700,300,13:29.2,13:29.5,13:30.2,809200,809500,810200,False,809.2
54,58,left,baseline,3,1000,400,13:29.2,13:29.6,13:30.6,809200,809600,810600,True,809.2
54,30,left,inhalation,0,190,200,14:57.4,14:57.6,14:57.8,897400,897600,897790,True,897.4
54,68,right,catch,3,1000,200,14:57.4,14:57.6,14:58.6,897400,897600,898600,False,897.4
54,57,right,baseline,2,700,200,15:21.4,15:21.6,15:22.3,921400,921600,922300,True,921.4
54,60,left,baseline,0,190,300,16:41.6,16:41.9,16:42.1,1001600,1001900,1002090,True,1001.6
54,53,front,baseline,3,1000,400,17:13.6,17:14.0,17:15.0,1033599,1033999,1034999,True,1033.6
54,20,front,inhalation,0,190,400,17:37.6,17:38.0,17:38.2,1057600,1058000,1058190,True,1057.6
54,52,right,baseline,2,700,400,17:45.6,17:46.0,17:46.7,1065600,1066000,1066700,True,1065.6
54,51,front,baseline,1,400,300,18:17.6,18:17.9,18:18.3,1097600,1097900,1098300,True,1097.6
54,40,right,exhalation,0,190,500,18:25.6,18:26.1,18:26.3,1105600,1106100,1106290,True,1105.6
54,49,right,exhalation,4,1500,100,18:57.6,18:57.7,18:59.2,1137600,1137700,1139200,True,1137.6
54,47,front,exhalation,2,700,200,21:6.0,21:6.2,21:6.9,1266000,1266200,1266900,True,1266.0
54,31,front,inhalation,1,400,300,21:22.0,21:22.3,21:22.7,1282000,1282300,1282700,True,1282.0
54,44,left,exhalation,4,1500,300,22:10.0,22:10.3,22:11.8,1330000,1330300,1331800,True,1330.0
54,63,right,baseline,3,1000,500,22:18.0,22:18.5,22:19.5,1338000,1338500,1339500,True,1338.0
54,33,left,inhalation,3,1000,400,23:30.0,23:30.4,23:31.4,1410000,1410400,1411400,True,1410.0
54,27,front,inhalation,2,700,400,25:6.2,25:6.6,25:7.3,1506200,1506600,1507300,True,1506.2
54,45,right,exhalation,0,190,500,25:22.2,25:22.7,25:22.9,1522200,1522700,1522890,True,1522.2
54,37,front,exhalation,2,700,200,26:26.4,26:26.6,26:27.3,1586400,1586600,1587300,True,1586.4
54,62,front,baseline,2,700,400,26:34.4,26:34.8,26:35.5,1594400,1594800,1595500,True,1594.4
54,28,left,inhalation,3,1000,500,27:14.4,27:14.9,27:15.9,1634400,1634900,1635900,True,1634.4
54,36,right,exhalation,1,400,100,28:34.6,28:34.7,28:35.1,1714600,1714700,1715100,True,1714.6
54,21,front,inhalation,1,400,500,28:50.6,28:51.1,28:51.5,1730600,1731100,1731500,True,1730.6
54,42,left,exhalation,2,700,500,29:6.6,29:7.1,29:7.8,1746600,1747100,1747800,True,1746.6
54,59,front,baseline,4,1500,200,29:30.6,29:30.8,29:32.3,1770600,1770800,1772300,True,1770.6
54,50,front,baseline,0,190,400,29:46.2,29:46.6,29:46.8,1786200,1786600,1786790,True,1786.2
