participant_id,trial_number,stimulus_type,trial_type,soa_condition_idx,soa_value_ms,jitter_ms,timestamp_original,timestamp_after_jitter,timestamp_with_soa,base_ms,jittered_ms,soa_ms,is_tactile,timestamp_sec
25,25,right,inhalation,0,190,100,00:32.2,00:32.3,00:32.5,32200,32300,32490,True,32.2
25,39,front,exhalation,4,1500,400,01:20.2,01:20.6,01:22.1,80200,80600,82100,True,80.2
25,34,front,inhalation,4,1500,500,02:8.4,02:8.9,02:10.4,128400,128900,130400,True,128.4
25,52,front,baseline,2,700,200,02:16.4,02:16.6,02:17.3,136400,136600,137300,True,136.4
25,44,right,exhalation,4,1500,300,03:28.4,03:28.7,03:30.2,208400,208700,210200,True,208.4
25,59,front,baseline,4,1500,200,04:8.4,04:8.6,04:10.1,248400,248600,250100,True,248.4
25,20,left,inhalation,0,190,400,04:16.4,04:16.8,04:17.0,256399,256799,256989,True,256.4
25,29,front,inhalation,4,1500,400,04:48.4,04:48.8,04:50.3,288400,288800,290300,True,288.4
25,22,front,inhalation,2,700,400,05:52.6,05:53.0,05:53.7,352600,353000,353700,True,352.6
25,43,left,exhalation,3,1000,100,06:8.6,06:8.7,06:9.7,368600,368700,369700,True,368.6
25,35,right,exhalation,0,190,500,06:40.6,06:41.1,06:41.3,400600,401100,401290,True,400.6
25,58,right,baseline,3,1000,500,06:48.8,06:49.3,06:50.3,408800,409300,410300,True,408.8
25,50,right,baseline,0,190,200,07:4.8,07:5.0,07:5.2,424800,425000,425190,True,424.8
25,31,left,inhalation,1,400,400,07:28.8,07:29.2,07:29.6,448800,449200,449600,True,448.8
25,69,front,catch,4,1500,400,07:52.8,07:53.2,07:54.7,472800,473200,474700,False,472.8
25,21,right,inhalation,1,400,200,08:0.8,08:1.0,08:1.4,480800,481000,481400,True,480.8
25,24,right,inhalation,4,1500,400,09:36.8,09:37.2,09:38.7,576800,577200,578700,True,576.8
25,60,right,baseline,0,190,500,10:17.0,10:17.5,10:17.7,617000,617500,617690,True,617.0
25,47,front,exhalation,2,700,300,10:25.0,10:25.3,10:26.0,625000,625300,626000,True,625.0
25,45,left,exhalation,0,190,500,10:57.0,10:57.5,10:57.7,657000,657500,657690,True,657.0
25,46,right,exhalation,1,400,400,11:29.2,11:29.6,11:30.0,689200,689600,690000,True,689.2
25,55,front,baseline,0,190,400,11:53.2,11:53.6,11:53.8,713200,713600,713790,True,713.2
25,53,front,baseline,3,1000,300,12:41.2,12:41.5,12:42.5,761200,761500,762500,True,761.2
25,67,right,catch,2,700,300,12:41.2,12:41.5,12:42.2,761200,761500,762200,False,761.2
25,36,left,exhalation,1,400,500,13:37.2,13:37.7,13:38.1,817200,817700,818100,True,817.2
25,37,right,exhalation,2,700,300,14:41.4,14:41.7,14:42.4,881400,881700,882400,True,881.4
25,64,left,baseline,4,1500,400,15:5.4,15:5.8,15:7.3,905400,905800,907300,True,905.4
25,56,front,baseline,1,400,100,15:21.4,15:21.5,15:21.9,921400,921500,921900,True,921.4
25,54,left,baseline,4,1500,500,16:41.6,16:42.1,16:43.6,1001600,1002100,1003600,True,1001.6
25,41,right,exhalation,1,400,500,17:21.6,17:22.1,17:22.5,1041599,1042099,1042499,True,1041.6
25,42,front,exhalation,2,700,200,18:25.6,18:25.8,18:26.5,1105600,1105800,1106500,True,1105.6
25,65,front,catch,0,190,200,18:25.6,18:25.8,18:26.0,1105600,1105800,1105990,False,1105.6
25,68,left,catch,3,1000,500,18:41.6,18:42.1,18:43.1,1121600,1122100,1123100,False,1121.6
25,33,right,inhalation,3,1000,400,18:41.6,18:42.0,18:43.0,1121600,1122000,1123000,True,1121.6
25,23,right,inhalation,3,1000,500,19:45.8,19:46.3,19:47.3,1185800,1186300,1187300,True,1185.8
25,62,left,baseline,2,700,500,20:9.8,20:10.3,20:11.0,1209800,1210300,1211000,True,1209.8
25,26,left,inhalation,1,400,200,21:22.0,21:22.2,21:22.6,1282000,1282200,1282600,True,1282.0
25,30,left,inhalation,0,190,100,21:54.0,21:54.1,21:54.3,1314000,1314100,1314290,True,1314.0
25,49,left,exhalation,4,1500,200,22:10.0,22:10.2,22:11.7,1330000,1330200,1331700,True,1330.0
25,32,left,inhalation,2,700,300,22:58.0,22:58.3,22:59.0,1378000,1378300,1379000,True,1378.0
25,63,right,baseline,3,1000,200,23:6.0,23:6.2,23:7.2,1386000,1386200,1387200,True,1386.0
25,38,left,exhalation,3,1000,200,23:14.0,23:14.2,23:15.2,1394000,1394200,1395200,True,1394.0
25,66,left,catch,1,400,300,23:38.0,23:38.3,23:38.7,1418000,1418300,1418700,False,1418.0
25,27,front,inhalation,2,700,200,24:2.2,24:2.4,24:3.1,1442200,1442400,1443100,True,1442.2
25,57,left,baseline,2,700,400,25:14.2,25:14.6,25:15.3,1514200,1514600,1515300,True,1514.2
25,48,front,exhalation,3,1000,500,25:54.4,25:54.9,25:55.9,1554400,1554900,1555900,True,1554.4
25,40,front,exhalation,0,190,100,26:58.4,26:58.5,26:58.7,1618400,1618500,1618690,True,1618.4
25,61,left,baseline,1,400,100,27:6.4,27:6.5,27:6.9,1626400,1626500,1626900,True,1626.4
25,28,front,inhalation,3,1000,500,27:46.4,27:46.9,27:47.9,1666400,1666900,1667900,True,1666.4
25,51,right,baseline,1,400,500,28:10.4,28:10.9,28:11.3,1690400,1690900,1691300,True,1690.4
