timestamp,milliseconds,sample_index
28:02.400,1682400.0,80755200
28:10.400,1690400.0,81139200
28:18.400,1698400.0,81523200
28:26.600,1706600.0,81916800
28:34.600,1714600.0,82300800
28:42.600,1722600.0,82684800
28:50.600,1730600.0,83068800
28:58.600,1738600.0,83452800
29:06.600,1746600.0,83836800
29:14.600,1754600.0,84220800
29:22.600,1762600.0,84604800
29:30.600,1770600.0,84988800
29:38.600,1778600.0,85372800
29:46.200,1786200.0,85737600
